water_link	timepoint	min_flow_vol_per_second	max_flow_vol_per_second
Water_Link_12	1.0	0.002	0.02
Water_Link_12	2.0	0.002	0.02
Water_Link_12	3.0	0.002	0.02
Water_Link_12	4.0	0.002	0.02
Water_Link_12	5.0	0.002	0.02
Water_Link_12	6.0	0.002	0.02
Water_Link_12	7.0	0.002	0.02
Water_Link_12	8.0	0.002	0.02
Water_Link_12	9.0	0.002	0.02
Water_Link_12	10.0	0.002	0.02
Water_Link_12	11.0	0.002	0.02
Water_Link_12	12.0	0.002	0.02
Water_Link_12	13.0	0.002	0.02
Water_Link_12	14.0	0.002	0.02
Water_Link_12	15.0	0.002	0.02
Water_Link_12	16.0	0.002	0.02
Water_Link_12	17.0	0.002	0.02
Water_Link_12	18.0	0.002	0.02
Water_Link_12	19.0	0.002	0.02
Water_Link_12	20.0	0.002	0.02
Water_Link_12	21.0	0.002	0.02
Water_Link_12	22.0	0.002	0.02
Water_Link_12	23.0	0.002	0.02
Water_Link_12	24.0	0.002	0.02
Water_Link_23	1.0	0.002	0.02
Water_Link_23	2.0	0.002	0.02
Water_Link_23	3.0	0.002	0.02
Water_Link_23	4.0	0.002	0.02
Water_Link_23	5.0	0.002	0.02
Water_Link_23	6.0	0.002	0.02
Water_Link_23	7.0	0.002	0.02
Water_Link_23	8.0	0.002	0.02
Water_Link_23	9.0	0.002	0.02
Water_Link_23	10.0	0.002	0.02
Water_Link_23	11.0	0.002	0.02
Water_Link_23	12.0	0.002	0.02
Water_Link_23	13.0	0.002	0.02
Water_Link_23	14.0	0.002	0.02
Water_Link_23	15.0	0.002	0.02
Water_Link_23	16.0	0.002	0.02
Water_Link_23	17.0	0.002	0.02
Water_Link_23	18.0	0.002	0.02
Water_Link_23	19.0	0.002	0.02
Water_Link_23	20.0	0.002	0.02
Water_Link_23	21.0	0.002	0.02
Water_Link_23	22.0	0.002	0.02
Water_Link_23	23.0	0.002	0.02
Water_Link_23	24.0	0.002	0.02
Water_Link_34	1.0	0.002	0.02
Water_Link_34	2.0	0.002	0.02
Water_Link_34	3.0	0.002	0.02
Water_Link_34	4.0	0.002	0.02
Water_Link_34	5.0	0.002	0.02
Water_Link_34	6.0	0.002	0.02
Water_Link_34	7.0	0.002	0.02
Water_Link_34	8.0	0.002	0.02
Water_Link_34	9.0	0.002	0.02
Water_Link_34	10.0	0.002	0.02
Water_Link_34	11.0	0.002	0.02
Water_Link_34	12.0	0.002	0.02
Water_Link_34	13.0	0.002	0.02
Water_Link_34	14.0	0.002	0.02
Water_Link_34	15.0	0.002	0.02
Water_Link_34	16.0	0.002	0.02
Water_Link_34	17.0	0.002	0.02
Water_Link_34	18.0	0.002	0.02
Water_Link_34	19.0	0.002	0.02
Water_Link_34	20.0	0.002	0.02
Water_Link_34	21.0	0.002	0.02
Water_Link_34	22.0	0.002	0.02
Water_Link_34	23.0	0.002	0.02
Water_Link_34	24.0	0.002	0.02
Water_Link_45	1.0	0.002	0.02
Water_Link_45	2.0	0.002	0.02
Water_Link_45	3.0	0.002	0.02
Water_Link_45	4.0	0.002	0.02
Water_Link_45	5.0	0.002	0.02
Water_Link_45	6.0	0.002	0.02
Water_Link_45	7.0	0.002	0.02
Water_Link_45	8.0	0.002	0.02
Water_Link_45	9.0	0.002	0.02
Water_Link_45	10.0	0.002	0.02
Water_Link_45	11.0	0.002	0.02
Water_Link_45	12.0	0.002	0.02
Water_Link_45	13.0	0.002	0.02
Water_Link_45	14.0	0.002	0.02
Water_Link_45	15.0	0.002	0.02
Water_Link_45	16.0	0.002	0.02
Water_Link_45	17.0	0.002	0.02
Water_Link_45	18.0	0.002	0.02
Water_Link_45	19.0	0.002	0.02
Water_Link_45	20.0	0.002	0.02
Water_Link_45	21.0	0.002	0.02
Water_Link_45	22.0	0.002	0.02
Water_Link_45	23.0	0.002	0.02
Water_Link_45	24.0	0.002	0.02
