horizon	balancing_type_horizon	timepoint
1	day	1
1	day	2
1	day	3
1	day	4
1	day	5
1	day	6
1	day	7
1	day	8
1	day	9
1	day	10
1	day	11
1	day	12
1	day	13
1	day	14
1	day	15
1	day	16
1	day	17
1	day	18
1	day	19
1	day	20
1	day	21
1	day	22
1	day	23
1	day	24
1	half_day	1
1	half_day	2
1	half_day	3
1	half_day	4
1	half_day	5
1	half_day	6
1	half_day	7
1	half_day	8
1	half_day	9
1	half_day	10
1	half_day	11
1	half_day	12
2	half_day	13
2	half_day	14
2	half_day	15
2	half_day	16
2	half_day	17
2	half_day	18
2	half_day	19
2	half_day	20
2	half_day	21
2	half_day	22
2	half_day	23
2	half_day	24
