reservoir	timepoint	exogenous_elevation
Water_Node_1	1	950
Water_Node_1	2	950
Water_Node_1	3	950
Water_Node_1	4	950
Water_Node_1	5	950
Water_Node_1	6	950
Water_Node_1	7	950
Water_Node_1	8	950
Water_Node_1	9	950
Water_Node_1	10	950
Water_Node_1	11	950
Water_Node_1	12	950
Water_Node_1	13	950
Water_Node_1	14	950
Water_Node_1	15	950
Water_Node_1	16	950
Water_Node_1	17	950
Water_Node_1	18	950
Water_Node_1	19	950
Water_Node_1	20	950
Water_Node_1	21	950
Water_Node_1	22	950
Water_Node_1	23	950
Water_Node_1	24	950
Water_Node_2	1	600
Water_Node_2	2	600
Water_Node_2	3	600
Water_Node_2	4	600
Water_Node_2	5	600
Water_Node_2	6	600
Water_Node_2	7	600
Water_Node_2	8	600
Water_Node_2	9	600
Water_Node_2	10	600
Water_Node_2	11	600
Water_Node_2	12	600
Water_Node_2	13	600
Water_Node_2	14	600
Water_Node_2	15	600
Water_Node_2	16	600
Water_Node_2	17	600
Water_Node_2	18	600
Water_Node_2	19	600
Water_Node_2	20	600
Water_Node_2	21	600
Water_Node_2	22	600
Water_Node_2	23	600
Water_Node_2	24	600
Water_Node_3	1	265
Water_Node_3	2	265
Water_Node_3	3	265
Water_Node_3	4	265
Water_Node_3	5	265
Water_Node_3	6	265
Water_Node_3	7	265
Water_Node_3	8	265
Water_Node_3	9	265
Water_Node_3	10	265
Water_Node_3	11	265
Water_Node_3	12	265
Water_Node_3	13	265
Water_Node_3	14	265
Water_Node_3	15	265
Water_Node_3	16	265
Water_Node_3	17	265
Water_Node_3	18	265
Water_Node_3	19	265
Water_Node_3	20	265
Water_Node_3	21	265
Water_Node_3	22	265
Water_Node_3	23	265
Water_Node_3	24	265
