timepoint	period	timepoint_weight	number_of_hours_in_timepoint	previous_stage_timepoint_map	month	day_of_month	hour_of_day
1	2026	182.5	1	.	1	1	1.0
2	2026	182.5	1	.	1	1	2.0
3	2026	182.5	1	.	1	1	3.0
4	2026	182.5	1	.	1	1	4.0
5	2026	182.5	1	.	1	1	5.0
6	2026	182.5	1	.	1	1	6.0
7	2026	182.5	1	.	1	1	7.0
8	2026	182.5	1	.	1	1	8.0
9	2026	182.5	1	.	1	1	9.0
10	2026	182.5	1	.	1	1	10.0
11	2026	182.5	1	.	1	1	11.0
12	2026	182.5	1	.	1	1	12.0
13	2026	182.5	1	.	1	1	13.0
14	2026	182.5	1	.	1	1	14.0
15	2026	182.5	1	.	1	1	15.0
16	2026	182.5	1	.	1	1	16.0
17	2026	182.5	1	.	1	1	17.0
18	2026	182.5	1	.	1	1	18.0
19	2026	182.5	1	.	1	1	19.0
20	2026	182.5	1	.	1	1	20.0
21	2026	182.5	1	.	1	1	21.0
22	2026	182.5	1	.	1	1	22.0
23	2026	182.5	1	.	1	1	23.0
24	2026	182.5	1	.	1	1	24.0
