fuel	period	month	fuel_price_per_mmbtu
Gas_Fuel_Region1	2026	1	3.540312
Gas_Fuel_Region1	2026	2	3.540312
Gas_Fuel_Region1	2026	3	3.540312
Gas_Fuel_Region1	2026	4	3.540312
Gas_Fuel_Region1	2026	5	3.540312
Gas_Fuel_Region1	2026	6	3.540312
Gas_Fuel_Region1	2026	7	3.540312
Gas_Fuel_Region1	2026	8	3.540312
Gas_Fuel_Region1	2026	9	3.540312
Gas_Fuel_Region1	2026	10	3.540312
Gas_Fuel_Region1	2026	11	3.540312
Gas_Fuel_Region1	2026	12	3.540312
Gas_Fuel_Region2	2026	1	3.577735109
Gas_Fuel_Region2	2026	2	3.577735109
Gas_Fuel_Region2	2026	3	3.577735109
Gas_Fuel_Region2	2026	4	3.577735109
Gas_Fuel_Region2	2026	5	3.577735109
Gas_Fuel_Region2	2026	6	3.577735109
Gas_Fuel_Region2	2026	7	3.577735109
Gas_Fuel_Region2	2026	8	3.577735109
Gas_Fuel_Region2	2026	9	3.577735109
Gas_Fuel_Region2	2026	10	3.577735109
Gas_Fuel_Region2	2026	11	3.577735109
Gas_Fuel_Region2	2026	12	3.577735109
