project	timepoint	cap_factor
Solar_Zone1	25	0.0
Solar_Zone1	26	0.0
Solar_Zone1	27	0.0
Solar_Zone1	28	0.0
Solar_Zone1	29	0.0
Solar_Zone1	30	0.0
Solar_Zone1	31	0.0
Solar_Zone1	32	0.240674301
Solar_Zone1	33	0.615802123
Solar_Zone1	34	0.716733419
Solar_Zone1	35	0.730903228
Solar_Zone1	36	0.727533514
Solar_Zone1	37	0.725401839
Solar_Zone1	38	0.71905479
Solar_Zone1	39	0.664973311
Solar_Zone1	40	0.446601934
Solar_Zone1	41	0.004551855
Solar_Zone1	42	0.0
Solar_Zone1	43	0.0
Solar_Zone1	44	0.0
Solar_Zone1	45	0.0
Solar_Zone1	46	0.0
Solar_Zone1	47	0.0
Solar_Zone1	48	0.0
Solar_Zone2	25	0.0
Solar_Zone2	26	0.0
Solar_Zone2	27	0.0
Solar_Zone2	28	0.0
Solar_Zone2	29	0.0
Solar_Zone2	30	0.0
Solar_Zone2	31	0.0
Solar_Zone2	32	0.109991832
Solar_Zone2	33	0.4537403
Solar_Zone2	34	0.549160733
Solar_Zone2	35	0.628092878
Solar_Zone2	36	0.614489706
Solar_Zone2	37	0.506240613
Solar_Zone2	38	0.485371148
Solar_Zone2	39	0.577595826
Solar_Zone2	40	0.192085142
Solar_Zone2	41	0.005705396
Solar_Zone2	42	0.0
Solar_Zone2	43	0.0
Solar_Zone2	44	0.0
Solar_Zone2	45	0.0
Solar_Zone2	46	0.0
Solar_Zone2	47	0.0
Solar_Zone2	48	0.0
Wind_Zone1	25	0.19144344
Wind_Zone1	26	0.202123736
Wind_Zone1	27	0.142588459
Wind_Zone1	28	0.10786511
Wind_Zone1	29	0.113000992
Wind_Zone1	30	0.170146855
Wind_Zone1	31	0.163809131
Wind_Zone1	32	0.225357755
Wind_Zone1	33	0.037760812
Wind_Zone1	34	0.067280622
Wind_Zone1	35	0.139579154
Wind_Zone1	36	0.224592122
Wind_Zone1	37	0.266375103
Wind_Zone1	38	0.332073769
Wind_Zone1	39	0.330253652
Wind_Zone1	40	0.430487909
Wind_Zone1	41	0.606641883
Wind_Zone1	42	0.373195434
Wind_Zone1	43	0.469478035
Wind_Zone1	44	0.353744849
Wind_Zone1	45	0.477550856
Wind_Zone1	46	0.648190369
Wind_Zone1	47	0.752817311
Wind_Zone1	48	0.581758777
Wind_Zone2	25	0.016367531
Wind_Zone2	26	0.014187956
Wind_Zone2	27	0.023242417
Wind_Zone2	28	0.015073842
Wind_Zone2	29	0.014624902
Wind_Zone2	30	0.01642427
Wind_Zone2	31	0.018768785
Wind_Zone2	32	0.014473774
Wind_Zone2	33	0.006420599
Wind_Zone2	34	0.004578226
Wind_Zone2	35	0.00497825
Wind_Zone2	36	0.005986848
Wind_Zone2	37	0.008251973
Wind_Zone2	38	0.012046315
Wind_Zone2	39	0.019511303
Wind_Zone2	40	0.019503595
Wind_Zone2	41	0.029821989
Wind_Zone2	42	0.033881474
Wind_Zone2	43	0.04442542
Wind_Zone2	44	0.04645503
Wind_Zone2	45	0.053503623
Wind_Zone2	46	0.109149247
Wind_Zone2	47	0.066468769
Wind_Zone2	48	0.126206971
