load_zone	timepoint	load_component	load_mw
Zone1	1	all	1626.321647
Zone1	2	all	1627.712855
Zone1	3	all	1633.834168
Zone1	4	all	1664.440734
Zone1	5	all	1732.331664
Zone1	6	all	1840.01113
Zone1	7	all	1880.634391
Zone1	8	all	1851.697273
Zone1	9	all	1833.611575
Zone1	10	all	1806.622148
Zone1	11	all	1775.73734
Zone1	12	all	1759.042849
Zone1	13	all	1728.158041
Zone1	14	all	1723.984418
Zone1	15	all	1746.800222
Zone1	16	all	1841.680579
Zone1	17	all	1985.253199
Zone1	18	all	1997.217584
Zone1	19	all	1962.715637
Zone1	20	all	1909.84975
Zone1	21	all	1828.324986
Zone1	22	all	1763.216472
Zone1	23	all	1725.097385
Zone1	24	all	1696.160267
Zone1	25	all	1537.562604
Zone1	26	all	1522.259321
Zone1	27	all	1531.441291
Zone1	28	all	1573.177518
Zone1	29	all	1663.884252
Zone1	30	all	1795.492488
Zone1	31	all	1848.358375
Zone1	32	all	1838.898163
Zone1	33	all	1808.84808
Zone1	34	all	1785.475793
Zone1	35	all	1754.034502
Zone1	36	all	1721.758487
Zone1	37	all	1717.028381
Zone1	38	all	1720.089037
Zone1	39	all	1750.695604
Zone1	40	all	1842.515303
Zone1	41	all	1980.801336
Zone1	42	all	1986.922649
Zone1	43	all	1968.558709
Zone1	44	all	1921.814135
Zone1	45	all	1841.680579
Zone1	46	all	1759.599332
Zone1	47	all	1688.647746
Zone1	48	all	1653.032832
Zone1	49	all	1626.321647
Zone1	50	all	1627.712855
Zone1	51	all	1633.834168
Zone1	52	all	1664.440734
Zone1	53	all	1732.331664
Zone1	54	all	1840.01113
Zone1	55	all	1880.634391
Zone1	56	all	1851.697273
Zone1	57	all	1833.611575
Zone1	58	all	1806.622148
Zone1	59	all	1775.73734
Zone1	60	all	1759.042849
Zone1	61	all	1728.158041
Zone1	62	all	1723.984418
Zone1	63	all	1746.800222
Zone1	64	all	1841.680579
Zone1	65	all	1985.253199
Zone1	66	all	1997.217584
Zone1	67	all	1962.715637
Zone1	68	all	1909.84975
Zone1	69	all	1828.324986
Zone1	70	all	1763.216472
Zone1	71	all	1725.097385
Zone1	72	all	1696.160267
Zone1	73	all	1521.981079
Zone1	74	all	1513.077352
Zone1	75	all	1521.702838
Zone1	76	all	1547.857541
Zone1	77	all	1624.373957
Zone1	78	all	1730.662214
Zone1	79	all	1781.580412
Zone1	80	all	1768.22482
Zone1	81	all	1736.227045
Zone1	82	all	1713.689483
Zone1	83	all	1686.700056
Zone1	84	all	1666.388425
Zone1	85	all	1643.016138
Zone1	86	all	1631.329994
Zone1	87	all	1670.84029
Zone1	88	all	1767.946578
Zone1	89	all	1916.527546
Zone1	90	all	1920.144685
Zone1	91	all	1887.033946
Zone1	92	all	1851.14079
Zone1	93	all	1772.120201
Zone1	94	all	1681.135225
Zone1	95	all	1609.905398
Zone1	96	all	1578.185866
Zone1	97	all	1429.326655
Zone1	98	all	1425.987757
Zone1	99	all	1438.508626
Zone1	100	all	1476.627713
Zone1	101	all	1564.830272
Zone1	102	all	1713.689483
Zone1	103	all	1808.013355
Zone1	104	all	1815.247634
Zone1	105	all	1811.630495
Zone1	106	all	1810.51753
Zone1	107	all	1802.448526
Zone1	108	all	1804.674457
Zone1	109	all	1778.797997
Zone1	110	all	1761.268781
Zone1	111	all	1790.48414
Zone1	112	all	1850.862548
Zone1	113	all	1945.464664
Zone1	114	all	1973.567057
Zone1	115	all	1927.935448
Zone1	116	all	1874.791319
Zone1	117	all	1785.197551
Zone1	118	all	1725.097385
Zone1	119	all	1675.848637
Zone1	120	all	1659.988871
Zone1	121	all	1628.269338
Zone1	122	all	1623.26099
Zone1	123	all	1621.591542
Zone1	124	all	1636.338342
Zone1	125	all	1731.218698
Zone1	126	all	1867.55704
Zone1	127	all	1912.632164
Zone1	128	all	1881.190873
Zone1	129	all	1856.149138
Zone1	130	all	1819.421257
Zone1	131	all	1768.503061
Zone1	132	all	1730.383973
Zone1	133	all	1692.264886
Zone1	134	all	1680.022259
Zone1	135	all	1715.08069
Zone1	136	all	1800.779076
Zone1	137	all	1934.056762
Zone1	138	all	1936.560935
Zone1	139	all	1898.720089
Zone1	140	all	1832.220367
Zone1	141	all	1762.93823
Zone1	142	all	1674.735671
Zone1	143	all	1602.392878
Zone1	144	all	1560.100166
Zone1	145	all	1529.4936
Zone1	146	all	1516.972733
Zone1	147	all	1526.711185
Zone1	148	all	1553.144129
Zone1	149	all	1633.834168
Zone1	150	all	1760.990539
Zone1	151	all	1807.456872
Zone1	152	all	1774.624374
Zone1	153	all	1717.584864
Zone1	154	all	1678.074569
Zone1	155	all	1629.660545
Zone1	156	all	1618.809126
Zone1	157	all	1601.00167
Zone1	158	all	1593.76739
Zone1	159	all	1606.566499
Zone1	160	all	1682.526433
Zone1	161	all	1804.952699
Zone1	162	all	1806.622148
Zone1	163	all	1777.963272
Zone1	164	all	1734.001112
Zone1	165	all	1664.162494
Zone1	166	all	1582.359488
Zone1	167	all	1512.242627
Zone1	168	all	1478.575404
