LOAD_ZONES	timepoint	load_mw
Zone1	1	1626.321647
Zone1	2	1627.712855
Zone1	3	1633.834168
Zone1	4	1664.440734
Zone1	5	1732.331664
Zone1	6	1840.01113
Zone1	7	1880.634391
Zone1	8	1851.697273
Zone1	9	1833.611575
Zone1	10	1806.622148
Zone1	11	1775.73734
Zone1	12	1759.042849
Zone1	13	1728.158041
Zone1	14	1723.984418
Zone1	15	1746.800222
Zone1	16	1841.680579
Zone1	17	1985.253199
Zone1	18	1997.217584
Zone1	19	1962.715637
Zone1	20	1909.84975
Zone1	21	1828.324986
Zone1	22	1763.216472
Zone1	23	1725.097385
Zone1	24	1696.160267
Zone1	25	1519.755148
Zone1	26	1513.077352
Zone1	27	1497.495827
Zone1	28	1528.658876
Zone1	29	1596.271564
Zone1	30	1731.218698
Zone1	31	1764.88592
Zone1	32	1715.358931
Zone1	33	1689.760712
Zone1	34	1684.195882
Zone1	35	1638.286032
Zone1	36	1630.217028
Zone1	37	1622.982749
Zone1	38	1631.329994
Zone1	39	1644.963829
Zone1	40	1725.097385
Zone1	41	1860.879244
Zone1	42	1858.375069
Zone1	43	1820.812465
Zone1	44	1769.894268
Zone1	45	1684.752365
Zone1	46	1609.070674
Zone1	47	1566.777964
Zone1	48	1517.250974
Zone1	49	1545.631608
Zone1	50	1520.868114
Zone1	51	1531.719533
Zone1	52	1550.361714
Zone1	53	1589.593768
Zone1	54	1636.0601
Zone1	55	1676.405119
Zone1	56	1670.84029
Zone1	57	1651.363384
Zone1	58	1618.809126
Zone1	59	1582.359488
Zone1	60	1546.744574
Zone1	61	1543.683918
Zone1	62	1525.87646
Zone1	63	1544.518642
Zone1	64	1629.382304
Zone1	65	1776.850306
Zone1	66	1760.712299
Zone1	67	1727.045075
Zone1	68	1697.829716
Zone1	69	1643.850863
Zone1	70	1569.003895
Zone1	71	1520.311631
Zone1	72	1506.956038
Zone1	73	1545.631608
Zone1	74	1520.868114
Zone1	75	1531.719533
Zone1	76	1550.361714
Zone1	77	1589.593768
Zone1	78	1636.0601
Zone1	79	1676.405119
Zone1	80	1670.84029
Zone1	81	1651.363384
Zone1	82	1618.809126
Zone1	83	1582.359488
Zone1	84	1546.744574
Zone1	85	1543.683918
Zone1	86	1525.87646
Zone1	87	1544.518642
Zone1	88	1629.382304
Zone1	89	1776.850306
Zone1	90	1760.712299
Zone1	91	1727.045075
Zone1	92	1697.829716
Zone1	93	1643.850863
Zone1	94	1569.003895
Zone1	95	1520.311631
Zone1	96	1506.956038
Zone1	97	1628.269338
Zone1	98	1623.26099
Zone1	99	1621.591542
Zone1	100	1636.338342
Zone1	101	1731.218698
Zone1	102	1867.55704
Zone1	103	1912.632164
Zone1	104	1881.190873
Zone1	105	1856.149138
Zone1	106	1819.421257
Zone1	107	1768.503061
Zone1	108	1730.383973
Zone1	109	1692.264886
Zone1	110	1680.022259
Zone1	111	1715.08069
Zone1	112	1800.779076
Zone1	113	1934.056762
Zone1	114	1936.560935
Zone1	115	1898.720089
Zone1	116	1832.220367
Zone1	117	1762.93823
Zone1	118	1674.735671
Zone1	119	1602.392878
Zone1	120	1560.100166
Zone1	121	1628.269338
Zone1	122	1623.26099
Zone1	123	1621.591542
Zone1	124	1636.338342
Zone1	125	1731.218698
Zone1	126	1867.55704
Zone1	127	1912.632164
Zone1	128	1881.190873
Zone1	129	1856.149138
Zone1	130	1819.421257
Zone1	131	1768.503061
Zone1	132	1730.383973
Zone1	133	1692.264886
Zone1	134	1680.022259
Zone1	135	1715.08069
Zone1	136	1800.779076
Zone1	137	1934.056762
Zone1	138	1936.560935
Zone1	139	1898.720089
Zone1	140	1832.220367
Zone1	141	1762.93823
Zone1	142	1674.735671
Zone1	143	1602.392878
Zone1	144	1560.100166
Zone1	145	1519.755148
Zone1	146	1513.077352
Zone1	147	1497.495827
Zone1	148	1528.658876
Zone1	149	1596.271564
Zone1	150	1731.218698
Zone1	151	1764.88592
Zone1	152	1715.358931
Zone1	153	1689.760712
Zone1	154	1684.195882
Zone1	155	1638.286032
Zone1	156	1630.217028
Zone1	157	1622.982749
Zone1	158	1631.329994
Zone1	159	1644.963829
Zone1	160	1725.097385
Zone1	161	1860.879244
Zone1	162	1858.375069
Zone1	163	1820.812465
Zone1	164	1769.894268
Zone1	165	1684.752365
Zone1	166	1609.070674
Zone1	167	1566.777964
Zone1	168	1517.250974
