project	timepoint	availability_derate_independent	hyb_stor_cap_availability_derate_independent
Batteries	1	0.965	0.0
Batteries	2	0.965	0.0
Batteries	3	0.965	0.0
Batteries	4	0.965	0.0
Batteries	5	0.965	0.0
Batteries	6	0.965	0.0
Batteries	7	0.965	0.0
Batteries	8	0.965	0.0
Batteries	9	0.965	0.0
Batteries	10	0.965	0.0
Batteries	11	0.965	0.0
Batteries	12	0.965	0.0
Batteries	13	0.965	0.0
Batteries	14	0.965	0.0
Batteries	15	0.965	0.0
Batteries	16	0.965	0.0
Batteries	17	0.965	0.0
Batteries	18	0.965	0.0
Batteries	19	0.965	0.0
Batteries	20	0.965	0.0
Batteries	21	0.965	0.0
Batteries	22	0.965	0.0
Batteries	23	0.965	0.0
Batteries	24	0.965	0.0
Batteries	25	0.965	0.0
Batteries	26	0.965	0.0
Batteries	27	0.965	0.0
Batteries	28	0.965	0.0
Batteries	29	0.965	0.0
Batteries	30	0.965	0.0
Batteries	31	0.965	0.0
Batteries	32	0.965	0.0
Batteries	33	0.965	0.0
Batteries	34	0.965	0.0
Batteries	35	0.965	0.0
Batteries	36	0.965	0.0
Batteries	37	0.965	0.0
Batteries	38	0.965	0.0
Batteries	39	0.965	0.0
Batteries	40	0.965	0.0
Batteries	41	0.965	0.0
Batteries	42	0.965	0.0
Batteries	43	0.965	0.0
Batteries	44	0.965	0.0
Batteries	45	0.965	0.0
Batteries	46	0.965	0.0
Batteries	47	0.965	0.0
Batteries	48	0.965	0.0
Batteries	49	0.965	0.0
Batteries	50	0.965	0.0
Batteries	51	0.965	0.0
Batteries	52	0.965	0.0
Batteries	53	0.965	0.0
Batteries	54	0.965	0.0
Batteries	55	0.965	0.0
Batteries	56	0.965	0.0
Batteries	57	0.965	0.0
Batteries	58	0.965	0.0
Batteries	59	0.965	0.0
Batteries	60	0.965	0.0
Batteries	61	0.965	0.0
Batteries	62	0.965	0.0
Batteries	63	0.965	0.0
Batteries	64	0.965	0.0
Batteries	65	0.965	0.0
Batteries	66	0.965	0.0
Batteries	67	0.965	0.0
Batteries	68	0.965	0.0
Batteries	69	0.965	0.0
Batteries	70	0.965	0.0
Batteries	71	0.965	0.0
Batteries	72	0.965	0.0
Batteries	73	0.965	0.0
Batteries	74	0.965	0.0
Batteries	75	0.965	0.0
Batteries	76	0.965	0.0
Batteries	77	0.965	0.0
Batteries	78	0.965	0.0
