LOAD_ZONES	timepoint	load_component	load_mw
Zone1	169	all	1672.78798
Zone1	170	all	1670.84029
Zone1	171	all	1676.683361
Zone1	172	all	1707.84641
Zone1	173	all	1769.894268
Zone1	174	all	1888.425154
Zone1	175	all	1929.604897
Zone1	176	all	1909.571508
Zone1	177	all	1861.435727
Zone1	178	all	1814.412911
Zone1	179	all	1759.042849
Zone1	180	all	1709.237618
Zone1	181	all	1683.91764
Zone1	182	all	1673.344463
Zone1	183	all	1693.09961
Zone1	184	all	1759.599332
Zone1	185	all	1895.381191
Zone1	186	all	1887.033946
Zone1	187	all	1846.688926
Zone1	188	all	1804.117974
Zone1	189	all	1757.3734
Zone1	190	all	1706.455204
Zone1	191	all	1649.137451
Zone1	192	all	1613.522538
Zone1	193	all	1519.755148
Zone1	194	all	1513.077352
Zone1	195	all	1497.495827
Zone1	196	all	1528.658876
Zone1	197	all	1596.271564
Zone1	198	all	1731.218698
Zone1	199	all	1764.88592
Zone1	200	all	1715.358931
Zone1	201	all	1689.760712
Zone1	202	all	1684.195882
Zone1	203	all	1638.286032
Zone1	204	all	1630.217028
Zone1	205	all	1622.982749
Zone1	206	all	1631.329994
Zone1	207	all	1644.963829
Zone1	208	all	1725.097385
Zone1	209	all	1860.879244
Zone1	210	all	1858.375069
Zone1	211	all	1820.812465
Zone1	212	all	1769.894268
Zone1	213	all	1684.752365
Zone1	214	all	1609.070674
Zone1	215	all	1566.777964
Zone1	216	all	1517.250974
Zone1	217	all	1545.631608
Zone1	218	all	1520.868114
Zone1	219	all	1531.719533
Zone1	220	all	1550.361714
Zone1	221	all	1589.593768
Zone1	222	all	1636.0601
Zone1	223	all	1676.405119
Zone1	224	all	1670.84029
Zone1	225	all	1651.363384
Zone1	226	all	1618.809126
Zone1	227	all	1582.359488
Zone1	228	all	1546.744574
Zone1	229	all	1543.683918
Zone1	230	all	1525.87646
Zone1	231	all	1544.518642
Zone1	232	all	1629.382304
Zone1	233	all	1776.850306
Zone1	234	all	1760.712299
Zone1	235	all	1727.045075
Zone1	236	all	1697.829716
Zone1	237	all	1643.850863
Zone1	238	all	1569.003895
Zone1	239	all	1520.311631
Zone1	240	all	1506.956038
Zone1	241	all	1545.631608
Zone1	242	all	1520.868114
Zone1	243	all	1531.719533
Zone1	244	all	1550.361714
Zone1	245	all	1589.593768
Zone1	246	all	1636.0601
Zone1	247	all	1676.405119
Zone1	248	all	1670.84029
Zone1	249	all	1651.363384
Zone1	250	all	1618.809126
Zone1	251	all	1582.359488
Zone1	252	all	1546.744574
Zone1	253	all	1543.683918
Zone1	254	all	1525.87646
Zone1	255	all	1544.518642
Zone1	256	all	1629.382304
Zone1	257	all	1776.850306
Zone1	258	all	1760.712299
Zone1	259	all	1727.045075
Zone1	260	all	1697.829716
Zone1	261	all	1643.850863
Zone1	262	all	1569.003895
Zone1	263	all	1520.311631
Zone1	264	all	1506.956038
Zone1	265	all	1519.755148
Zone1	266	all	1513.077352
Zone1	267	all	1497.495827
Zone1	268	all	1528.658876
Zone1	269	all	1596.271564
Zone1	270	all	1731.218698
Zone1	271	all	1764.88592
Zone1	272	all	1715.358931
Zone1	273	all	1689.760712
Zone1	274	all	1684.195882
Zone1	275	all	1638.286032
Zone1	276	all	1630.217028
Zone1	277	all	1622.982749
Zone1	278	all	1631.329994
Zone1	279	all	1644.963829
Zone1	280	all	1725.097385
Zone1	281	all	1860.879244
Zone1	282	all	1858.375069
Zone1	283	all	1820.812465
Zone1	284	all	1769.894268
Zone1	285	all	1684.752365
Zone1	286	all	1609.070674
Zone1	287	all	1566.777964
Zone1	288	all	1517.250974
Zone1	289	all	1672.78798
Zone1	290	all	1670.84029
Zone1	291	all	1676.683361
Zone1	292	all	1707.84641
Zone1	293	all	1769.894268
Zone1	294	all	1888.425154
Zone1	295	all	1929.604897
Zone1	296	all	1909.571508
Zone1	297	all	1861.435727
Zone1	298	all	1814.412911
Zone1	299	all	1759.042849
Zone1	300	all	1709.237618
Zone1	301	all	1683.91764
Zone1	302	all	1673.344463
Zone1	303	all	1693.09961
Zone1	304	all	1759.599332
Zone1	305	all	1895.381191
Zone1	306	all	1887.033946
Zone1	307	all	1846.688926
Zone1	308	all	1804.117974
Zone1	309	all	1757.3734
Zone1	310	all	1706.455204
Zone1	311	all	1649.137451
Zone1	312	all	1613.522538
Zone1	313	all	1672.78798
Zone1	314	all	1670.84029
Zone1	315	all	1676.683361
Zone1	316	all	1707.84641
Zone1	317	all	1769.894268
Zone1	318	all	1888.425154
Zone1	319	all	1929.604897
Zone1	320	all	1909.571508
Zone1	321	all	1861.435727
Zone1	322	all	1814.412911
Zone1	323	all	1759.042849
Zone1	324	all	1709.237618
Zone1	325	all	1683.91764
Zone1	326	all	1673.344463
Zone1	327	all	1693.09961
Zone1	328	all	1759.599332
Zone1	329	all	1895.381191
Zone1	330	all	1887.033946
Zone1	331	all	1846.688926
Zone1	332	all	1804.117974
Zone1	333	all	1757.3734
Zone1	334	all	1706.455204
Zone1	335	all	1649.137451
Zone1	336	all	1613.522538
