timepoint	period	timepoint_weight	number_of_hours_in_timepoint	previous_stage_timepoint_map	month	day_of_month	hour_of_day
1	2026	1.0	1	.	1	1	1.0
2	2026	1.0	1	.	1	1	2.0
3	2026	1.0	1	.	1	1	3.0
4	2026	1.0	1	.	1	1	4.0
5	2026	1.0	1	.	1	1	5.0
6	2026	1.0	1	.	1	1	6.0
7	2026	1.0	1	.	1	1	7.0
8	2026	1.0	1	.	1	1	8.0
9	2026	1.0	1	.	1	1	9.0
10	2026	1.0	1	.	1	1	10.0
11	2026	1.0	1	.	1	1	11.0
12	2026	1.0	1	.	1	1	12.0
13	2026	1.0	1	.	1	1	13.0
14	2026	1.0	1	.	1	1	14.0
15	2026	1.0	1	.	1	1	15.0
16	2026	1.0	1	.	1	1	16.0
17	2026	1.0	1	.	1	1	17.0
18	2026	1.0	1	.	1	1	18.0
19	2026	1.0	1	.	1	1	19.0
20	2026	1.0	1	.	1	1	20.0
21	2026	1.0	1	.	1	1	21.0
22	2026	1.0	1	.	1	1	22.0
23	2026	1.0	1	.	1	1	23.0
24	2026	1.0	1	.	1	1	24.0
25	2026	1.0	1	.	1	2	1.0
26	2026	1.0	1	.	1	2	2.0
27	2026	1.0	1	.	1	2	3.0
28	2026	1.0	1	.	1	2	4.0
29	2026	1.0	1	.	1	2	5.0
30	2026	1.0	1	.	1	2	6.0
31	2026	1.0	1	.	1	2	7.0
32	2026	1.0	1	.	1	2	8.0
33	2026	1.0	1	.	1	2	9.0
34	2026	1.0	1	.	1	2	10.0
35	2026	1.0	1	.	1	2	11.0
36	2026	1.0	1	.	1	2	12.0
37	2026	1.0	1	.	1	2	13.0
38	2026	1.0	1	.	1	2	14.0
39	2026	1.0	1	.	1	2	15.0
40	2026	1.0	1	.	1	2	16.0
41	2026	1.0	1	.	1	2	17.0
42	2026	1.0	1	.	1	2	18.0
43	2026	1.0	1	.	1	2	19.0
44	2026	1.0	1	.	1	2	20.0
45	2026	1.0	1	.	1	2	21.0
46	2026	1.0	1	.	1	2	22.0
47	2026	1.0	1	.	1	2	23.0
48	2026	1.0	1	.	1	2	24.0
49	2026	1.0	1	.	1	3	1.0
50	2026	1.0	1	.	1	3	2.0
51	2026	1.0	1	.	1	3	3.0
52	2026	1.0	1	.	1	3	4.0
53	2026	1.0	1	.	1	3	5.0
54	2026	1.0	1	.	1	3	6.0
55	2026	1.0	1	.	1	3	7.0
56	2026	1.0	1	.	1	3	8.0
57	2026	1.0	1	.	1	3	9.0
58	2026	1.0	1	.	1	3	10.0
59	2026	1.0	1	.	1	3	11.0
60	2026	1.0	1	.	1	3	12.0
61	2026	1.0	1	.	1	3	13.0
62	2026	1.0	1	.	1	3	14.0
63	2026	1.0	1	.	1	3	15.0
64	2026	1.0	1	.	1	3	16.0
65	2026	1.0	1	.	1	3	17.0
66	2026	1.0	1	.	1	3	18.0
67	2026	1.0	1	.	1	3	19.0
68	2026	1.0	1	.	1	3	20.0
69	2026	1.0	1	.	1	3	21.0
70	2026	1.0	1	.	1	3	22.0
71	2026	1.0	1	.	1	3	23.0
72	2026	1.0	1	.	1	3	24.0
73	2026	1.0	1	.	1	4	1.0
74	2026	1.0	1	.	1	4	2.0
75	2026	1.0	1	.	1	4	3.0
76	2026	1.0	1	.	1	4	4.0
77	2026	1.0	1	.	1	4	5.0
78	2026	1.0	1	.	1	4	6.0
79	2026	1.0	1	.	1	4	7.0
80	2026	1.0	1	.	1	4	8.0
81	2026	1.0	1	.	1	4	9.0
82	2026	1.0	1	.	1	4	10.0
83	2026	1.0	1	.	1	4	11.0
84	2026	1.0	1	.	1	4	12.0
85	2026	1.0	1	.	1	4	13.0
86	2026	1.0	1	.	1	4	14.0
87	2026	1.0	1	.	1	4	15.0
88	2026	1.0	1	.	1	4	16.0
89	2026	1.0	1	.	1	4	17.0
90	2026	1.0	1	.	1	4	18.0
91	2026	1.0	1	.	1	4	19.0
92	2026	1.0	1	.	1	4	20.0
93	2026	1.0	1	.	1	4	21.0
