project	timepoint	cap_factor
Solar	169	0.0
Solar	170	0.0
Solar	171	0.0
Solar	172	0.0
Solar	173	0.0
Solar	174	0.0
Solar	175	0.0
Solar	176	0.243854682
Solar	177	0.628722608
Solar	178	0.734360456
Solar	179	0.747145321
Solar	180	0.745178101
Solar	181	0.741394047
Solar	182	0.731411334
Solar	183	0.683950529
Solar	184	0.502595944
Solar	185	0.087046639
Solar	186	0.0
Solar	187	0.0
Solar	188	0.0
Solar	189	0.0
Solar	190	0.0
Solar	191	0.0
Solar	192	0.0
Solar	193	0.0
Solar	194	0.0
Solar	195	0.0
Solar	196	0.0
Solar	197	0.0
Solar	198	0.0
Solar	199	0.0
Solar	200	0.253555211
Solar	201	0.667243358
Solar	202	0.775864898
Solar	203	0.804123252
Solar	204	0.802201434
Solar	205	0.795526893
Solar	206	0.787215308
Solar	207	0.732987725
Solar	208	0.589317636
Solar	209	0.190256422
Solar	210	0.0
Solar	211	0.0
Solar	212	0.0
Solar	213	0.0
Solar	214	0.0
Solar	215	0.0
Solar	216	0.0
Solar	217	0.0
Solar	218	0.0
Solar	219	0.0
Solar	220	0.0
Solar	221	0.0
Solar	222	0.0
Solar	223	0.0
Solar	224	0.240674301
Solar	225	0.615802123
Solar	226	0.716733419
Solar	227	0.730903228
Solar	228	0.727533514
Solar	229	0.725401839
Solar	230	0.71905479
Solar	231	0.664973311
Solar	232	0.446601934
Solar	233	0.004551855
Solar	234	0.0
Solar	235	0.0
Solar	236	0.0
Solar	237	0.0
Solar	238	0.0
Solar	239	0.0
Solar	240	0.0
Solar	241	0.0
Solar	242	0.0
Solar	243	0.0
Solar	244	0.0
Solar	245	0.0
Solar	246	0.0
Solar	247	0.0
Solar	248	0.186373846
Solar	249	0.423381323
Solar	250	0.644571765
Solar	251	0.719970283
Solar	252	0.689136165
Solar	253	0.686220623
Solar	254	0.677499985
Solar	255	0.523074117
Solar	256	0.338409657
Solar	257	0.001148738
Solar	258	0.0
Solar	259	0.0
Solar	260	0.0
Solar	261	0.0
Solar	262	0.0
Solar	263	0.0
Solar	264	0.0
Solar	265	0.0
Solar	266	0.0
Solar	267	0.0
Solar	268	0.0
Solar	269	0.0
Solar	270	0.0
Solar	271	0.0
Solar	272	0.238983643
Solar	273	0.659184068
Solar	274	0.753882804
Solar	275	0.769729822
Solar	276	0.776626118
Solar	277	0.778273779
Solar	278	0.768249196
Solar	279	0.729526638
Solar	280	0.602186731
Solar	281	0.21414511
Solar	282	0.0
Solar	283	0.0
Solar	284	0.0
Solar	285	0.0
Solar	286	0.0
Solar	287	0.0
Solar	288	0.0
Solar	289	0.0
Solar	290	0.0
Solar	291	0.0
Solar	292	0.0
Solar	293	0.0
Solar	294	0.0
Solar	295	0.0
Solar	296	0.099049797
Solar	297	0.303446876
Solar	298	0.567465033
Solar	299	0.587145488
Solar	300	0.607574272
Solar	301	0.565911596
Solar	302	0.577606597
Solar	303	0.485366387
Solar	304	0.337109447
Solar	305	0.073296237
Solar	306	0.0
Solar	307	0.0
Solar	308	0.0
Solar	309	0.0
Solar	310	0.0
Solar	311	0.0
Solar	312	0.0
Solar	313	0.0
Solar	314	0.0
Solar	315	0.0
Solar	316	0.0
Solar	317	0.0
Solar	318	0.0
Solar	319	0.0
Solar	320	0.218885919
Solar	321	0.535234759
Solar	322	0.702767095
Solar	323	0.72024309
Solar	324	0.702161899
Solar	325	0.613695271
Solar	326	0.688473055
Solar	327	0.629125956
Solar	328	0.499803447
Solar	329	0.17430687
Solar	330	0.0
Solar	331	0.0
Solar	332	0.0
Solar	333	0.0
Solar	334	0.0
Solar	335	0.0
Solar	336	0.0
Wind	169	0.251479107
Wind	170	0.216575142
Wind	171	0.244491978
Wind	172	0.195242464
Wind	173	0.168441467
Wind	174	0.146613846
Wind	175	0.111457225
Wind	176	0.069328766
Wind	177	0.028604958
Wind	178	0.027050205
Wind	179	0.031429396
Wind	180	0.02841026
Wind	181	0.024638529
Wind	182	0.023603309
Wind	183	0.024453117
Wind	184	0.033866206
Wind	185	0.051701079
Wind	186	0.053136779
Wind	187	0.071454979
Wind	188	0.064315056
Wind	189	0.069451726
Wind	190	0.083343919
Wind	191	0.113873697
Wind	192	0.118423362
Wind	193	0.148369747
Wind	194	0.125725173
Wind	195	0.15690781
Wind	196	0.185754443
Wind	197	0.212693774
Wind	198	0.235000479
Wind	199	0.355463795
Wind	200	0.325008215
Wind	201	0.10378698
Wind	202	0.062843437
Wind	203	0.0865725
Wind	204	0.114486032
Wind	205	0.137483247
Wind	206	0.144676575
Wind	207	0.116707862
Wind	208	0.157675385
Wind	209	0.343363782
Wind	210	0.326697122
Wind	211	0.294493918
Wind	212	0.317054981
Wind	213	0.22727384
Wind	214	0.165799593
Wind	215	0.189642487
Wind	216	0.239688258
Wind	217	0.64503967
Wind	218	0.753927157
Wind	219	0.616982214
Wind	220	0.62562195
Wind	221	0.760611914
Wind	222	0.744891005
Wind	223	0.803805084
Wind	224	0.698825217
Wind	225	0.542654614
Wind	226	0.456952475
Wind	227	0.33787481
Wind	228	0.312286357
Wind	229	0.323504914
Wind	230	0.289869415
Wind	231	0.237262516
Wind	232	0.171524668
Wind	233	0.299382317
Wind	234	0.299616956
Wind	235	0.375400171
Wind	236	0.358135014
Wind	237	0.243856105
Wind	238	0.295821591
Wind	239	0.303337866
Wind	240	0.355111547
Wind	241	0.251479107
Wind	242	0.216575142
Wind	243	0.244491978
Wind	244	0.195242464
Wind	245	0.168441467
Wind	246	0.146613846
Wind	247	0.111457225
Wind	248	0.069328766
Wind	249	0.028604958
Wind	250	0.027050205
Wind	251	0.031429396
Wind	252	0.02841026
Wind	253	0.024638529
Wind	254	0.023603309
Wind	255	0.024453117
Wind	256	0.033866206
Wind	257	0.051701079
Wind	258	0.053136779
Wind	259	0.071454979
Wind	260	0.064315056
Wind	261	0.069451726
Wind	262	0.083343919
Wind	263	0.113873697
Wind	264	0.118423362
Wind	265	0.761773951
Wind	266	0.663571416
Wind	267	0.490891682
Wind	268	0.514377609
Wind	269	0.455038224
Wind	270	0.517318096
Wind	271	0.612179795
Wind	272	0.59595354
Wind	273	0.679819713
Wind	274	0.726370975
Wind	275	0.783181029
Wind	276	0.830109619
Wind	277	0.878977344
Wind	278	0.905595113
Wind	279	0.922046268
Wind	280	0.869001912
Wind	281	0.747553915
Wind	282	0.723569089
Wind	283	0.616795421
Wind	284	0.693794665
Wind	285	0.820365028
Wind	286	0.740802947
Wind	287	0.813913855
Wind	288	0.817592092
Wind	289	0.019564494
Wind	290	0.009245931
Wind	291	0.009583437
Wind	292	0.018152754
Wind	293	0.046739526
Wind	294	0.070663434
Wind	295	0.160893093
Wind	296	0.177294074
Wind	297	0.169789451
Wind	298	0.257058437
Wind	299	0.346879787
Wind	300	0.513601433
Wind	301	0.441155936
Wind	302	0.399476586
Wind	303	0.40215714
Wind	304	0.376650461
Wind	305	0.473112566
Wind	306	0.647859362
Wind	307	0.750876768
Wind	308	0.626427648
Wind	309	0.451862606
Wind	310	0.518528596
Wind	311	0.500424677
Wind	312	0.510163946
Wind	313	0.699066216
Wind	314	0.804794477
Wind	315	0.753185047
Wind	316	0.701416914
Wind	317	0.677289991
Wind	318	0.674763973
Wind	319	0.731923008
Wind	320	0.74791863
Wind	321	0.609634792
Wind	322	0.471942093
Wind	323	0.400663621
Wind	324	0.379442287
Wind	325	0.361615923
Wind	326	0.381563128
Wind	327	0.306907329
Wind	328	0.280251327
Wind	329	0.370894657
Wind	330	0.365857628
Wind	331	0.232538772
Wind	332	0.340010141
Wind	333	0.374054705
Wind	334	0.26642542
Wind	335	0.20769873
Wind	336	0.203304344
Hybrid	169	0.0
Hybrid	170	0.0
Hybrid	171	0.0
Hybrid	172	0.0
Hybrid	173	0.0
Hybrid	174	0.0
Hybrid	175	0.0
Hybrid	176	0.197035159
Hybrid	177	0.51517373
Hybrid	178	0.559179009
Hybrid	179	0.529197433
Hybrid	180	0.506812134
Hybrid	181	0.509965259
Hybrid	182	0.526750302
Hybrid	183	0.519620694
Hybrid	184	0.377441038
Hybrid	185	0.018658861
Hybrid	186	0.0
Hybrid	187	0.0
Hybrid	188	0.0
Hybrid	189	0.0
Hybrid	190	0.0
Hybrid	191	0.0
Hybrid	192	0.0
Hybrid	193	0.0
Hybrid	194	0.0
Hybrid	195	0.0
Hybrid	196	0.0
Hybrid	197	0.0
Hybrid	198	0.0
Hybrid	199	0.0
Hybrid	200	0.247503495
Hybrid	201	0.567383497
Hybrid	202	0.602429136
Hybrid	203	0.580449796
Hybrid	204	0.562222074
Hybrid	205	0.563152893
Hybrid	206	0.577147461
Hybrid	207	0.575476332
Hybrid	208	0.475589055
Hybrid	209	0.139003719
Hybrid	210	0.0
Hybrid	211	0.0
Hybrid	212	0.0
Hybrid	213	0.0
Hybrid	214	0.0
Hybrid	215	0.0
Hybrid	216	0.0
Hybrid	217	0.0
Hybrid	218	0.0
Hybrid	219	0.0
Hybrid	220	0.0
Hybrid	221	0.0
Hybrid	222	0.0
Hybrid	223	0.0
Hybrid	224	0.19679402
Hybrid	225	0.513939495
Hybrid	226	0.553373241
Hybrid	227	0.529780943
Hybrid	228	0.507689767
Hybrid	229	0.516055715
Hybrid	230	0.535668239
Hybrid	231	0.529607216
Hybrid	232	0.344229058
Hybrid	233	0.0
Hybrid	234	0.0
Hybrid	235	0.0
Hybrid	236	0.0
Hybrid	237	0.0
Hybrid	238	0.0
Hybrid	239	0.0
Hybrid	240	0.0
Hybrid	241	0.0
Hybrid	242	0.0
Hybrid	243	0.0
Hybrid	244	0.0
Hybrid	245	0.0
Hybrid	246	0.0
Hybrid	247	0.0
Hybrid	248	0.195857389
Hybrid	249	0.497280057
Hybrid	250	0.538350719
Hybrid	251	0.512694068
Hybrid	252	0.491634538
Hybrid	253	0.498522586
Hybrid	254	0.512550323
Hybrid	255	0.494409867
Hybrid	256	0.30426757
Hybrid	257	0.0
Hybrid	258	0.0
Hybrid	259	0.0
Hybrid	260	0.0
Hybrid	261	0.0
Hybrid	262	0.0
Hybrid	263	0.0
Hybrid	264	0.0
Hybrid	265	0.0
Hybrid	266	0.0
Hybrid	267	0.0
Hybrid	268	0.0
Hybrid	269	0.0
Hybrid	270	0.0
Hybrid	271	0.0
Hybrid	272	0.081486479
Hybrid	273	0.545899833
Hybrid	274	0.581656005
Hybrid	275	0.570765483
Hybrid	276	0.557241065
Hybrid	277	0.559867959
Hybrid	278	0.574901031
Hybrid	279	0.573232667
Hybrid	280	0.48380061
Hybrid	281	0.150715424
Hybrid	282	0.0
Hybrid	283	0.0
Hybrid	284	0.0
Hybrid	285	0.0
Hybrid	286	0.0
Hybrid	287	0.0
Hybrid	288	0.0
Hybrid	289	0.0
Hybrid	290	0.0
Hybrid	291	0.0
Hybrid	292	0.0
Hybrid	293	0.0
Hybrid	294	0.0
Hybrid	295	0.0
Hybrid	296	0.150232153
Hybrid	297	0.330295225
Hybrid	298	0.473181051
Hybrid	299	0.525826391
Hybrid	300	0.401364554
Hybrid	301	0.427718991
Hybrid	302	0.472990594
Hybrid	303	0.426214035
Hybrid	304	0.319132825
Hybrid	305	0.005272676
Hybrid	306	0.0
Hybrid	307	0.0
Hybrid	308	0.0
Hybrid	309	0.0
Hybrid	310	0.0
Hybrid	311	0.0
Hybrid	312	0.0
Hybrid	313	0.0
Hybrid	314	0.0
Hybrid	315	0.0
Hybrid	316	0.0
Hybrid	317	0.0
Hybrid	318	0.0
Hybrid	319	0.0
Hybrid	320	0.240377399
Hybrid	321	0.552495522
Hybrid	322	0.599713505
Hybrid	323	0.576675067
Hybrid	324	0.559042819
Hybrid	325	0.562046387
Hybrid	326	0.574048841
Hybrid	327	0.573540294
Hybrid	328	0.471941188
Hybrid	329	0.130300477
Hybrid	330	0.0
Hybrid	331	0.0
Hybrid	332	0.0
Hybrid	333	0.0
Hybrid	334	0.0
Hybrid	335	0.0
Hybrid	336	0.0
