project	timepoint	cap_factor
Hybrid	169	0.0
Hybrid	170	0.0
Hybrid	171	0.0
Hybrid	172	0.0
Hybrid	173	0.0
Hybrid	174	0.0
Hybrid	175	0.0
Hybrid	176	0.087247183
Hybrid	177	0.25051446
Hybrid	178	0.404271847
Hybrid	179	0.407405327
Hybrid	180	0.377896597
Hybrid	181	0.337315237
Hybrid	182	0.370088021
Hybrid	183	0.374210534
Hybrid	184	0.169050061
Hybrid	185	0.0
Hybrid	186	0.0
Hybrid	187	0.0
Hybrid	188	0.0
Hybrid	189	0.0
Hybrid	190	0.0
Hybrid	191	0.0
Hybrid	192	0.0
Hybrid	193	0.0
Hybrid	194	0.0
Hybrid	195	0.0
Hybrid	196	0.0
Hybrid	197	0.0
Hybrid	198	0.0
Hybrid	199	0.0
Hybrid	200	0.189890685
Hybrid	201	0.500258074
Hybrid	202	0.542940785
Hybrid	203	0.52070762
Hybrid	204	0.500964127
Hybrid	205	0.504648726
Hybrid	206	0.403795139
Hybrid	207	0.291048913
Hybrid	208	0.163167225
Hybrid	209	0.0
Hybrid	210	0.0
Hybrid	211	0.0
Hybrid	212	0.0
Hybrid	213	0.0
Hybrid	214	0.0
Hybrid	215	0.0
Hybrid	216	0.0
Hybrid	217	0.0
Hybrid	218	0.0
Hybrid	219	0.0
Hybrid	220	0.0
Hybrid	221	0.0
Hybrid	222	0.0
Hybrid	223	0.0
Hybrid	224	0.134868532
Hybrid	225	0.457420491
Hybrid	226	0.538389916
Hybrid	227	0.516688028
Hybrid	228	0.498317539
Hybrid	229	0.50381164
Hybrid	230	0.511661224
Hybrid	231	0.500265507
Hybrid	232	0.34437098
Hybrid	233	0.0
Hybrid	234	0.0
Hybrid	235	0.0
Hybrid	236	0.0
Hybrid	237	0.0
Hybrid	238	0.0
Hybrid	239	0.0
Hybrid	240	0.0
Hybrid	241	0.0
Hybrid	242	0.0
Hybrid	243	0.0
Hybrid	244	0.0
Hybrid	245	0.0
Hybrid	246	0.0
Hybrid	247	0.0
Hybrid	248	0.19235075
Hybrid	249	0.508716508
Hybrid	250	0.554058457
Hybrid	251	0.532203494
Hybrid	252	0.512882646
Hybrid	253	0.516687506
Hybrid	254	0.538101498
Hybrid	255	0.533703153
Hybrid	256	0.388544147
Hybrid	257	0.0
Hybrid	258	0.0
Hybrid	259	0.0
Hybrid	260	0.0
Hybrid	261	0.0
Hybrid	262	0.0
Hybrid	263	0.0
Hybrid	264	0.0
Hybrid	265	0.0
Hybrid	266	0.0
Hybrid	267	0.0
Hybrid	268	0.0
Hybrid	269	0.0
Hybrid	270	0.0
Hybrid	271	0.0
Hybrid	272	0.195213454
Hybrid	273	0.495285538
Hybrid	274	0.534169651
Hybrid	275	0.508632735
Hybrid	276	0.37986856
Hybrid	277	0.261058353
Hybrid	278	0.514828756
Hybrid	279	0.503411771
Hybrid	280	0.363527792
Hybrid	281	0.008720187
Hybrid	282	0.0
Hybrid	283	0.0
Hybrid	284	0.0
Hybrid	285	0.0
Hybrid	286	0.0
Hybrid	287	0.0
Hybrid	288	0.0
Hybrid	289	0.0
Hybrid	290	0.0
Hybrid	291	0.0
Hybrid	292	0.0
Hybrid	293	0.0
Hybrid	294	0.0
Hybrid	295	0.0
Hybrid	296	0.195653876
Hybrid	297	0.502577782
Hybrid	298	0.549614638
Hybrid	299	0.531000722
Hybrid	300	0.513282888
Hybrid	301	0.51984711
Hybrid	302	0.537357746
Hybrid	303	0.533232444
Hybrid	304	0.384069453
Hybrid	305	0.019815198
Hybrid	306	0.0
Hybrid	307	0.0
Hybrid	308	0.0
Hybrid	309	0.0
Hybrid	310	0.0
Hybrid	311	0.0
Hybrid	312	0.0
Hybrid	313	0.0
Hybrid	314	0.0
Hybrid	315	0.0
Hybrid	316	0.0
Hybrid	317	0.0
Hybrid	318	0.0
Hybrid	319	0.0
Hybrid	320	0.19047927
Hybrid	321	0.506441338
Hybrid	322	0.555631449
Hybrid	323	0.541362751
Hybrid	324	0.521940393
Hybrid	325	0.525825709
Hybrid	326	0.543063857
Hybrid	327	0.53398529
Hybrid	328	0.383360641
Hybrid	329	0.031610862
Hybrid	330	0.0
Hybrid	331	0.0
Hybrid	332	0.0
Hybrid	333	0.0
Hybrid	334	0.0
Hybrid	335	0.0
Hybrid	336	0.0
Solar	169	0.0
Solar	170	0.0
