load_zone	timepoint	load_component	load_mw
Zone1	1	all	1626.599888
Zone1	2	all	1596.549805
Zone1	3	all	1586.811353
Zone1	4	all	1596.549805
Zone1	5	all	1615.470228
Zone1	6	all	1625.765164
Zone1	7	all	1630.217028
Zone1	8	all	1615.191986
Zone1	9	all	1626.599888
Zone1	10	all	1626.043405
Zone1	11	all	1607.122982
Zone1	12	all	1580.96828
Zone1	13	all	1584.863662
Zone1	14	all	1581.246522
Zone1	15	all	1621.869782
Zone1	16	all	1730.383973
Zone1	17	all	1873.121869
Zone1	18	all	1848.080134
Zone1	19	all	1813.856428
Zone1	20	all	1789.927657
Zone1	21	all	1738.452977
Zone1	22	all	1662.493044
Zone1	23	all	1605.175292
Zone1	24	all	1566.22148
Zone1	25	all	1539.232054
Zone1	26	all	1533.667223
Zone1	27	all	1533.667223
Zone1	28	all	1540.901502
Zone1	29	all	1565.664997
Zone1	30	all	1597.106288
Zone1	31	all	1645.520311
Zone1	32	all	1647.746244
Zone1	33	all	1645.24207
Zone1	34	all	1623.539232
Zone1	35	all	1603.227601
Zone1	36	all	1580.411797
Zone1	37	all	1566.777964
Zone1	38	all	1557.317752
Zone1	39	all	1585.420145
Zone1	40	all	1690.595437
Zone1	41	all	1840.289371
Zone1	42	all	1832.77685
Zone1	43	all	1806.90039
Zone1	44	all	1769.059543
Zone1	45	all	1696.438508
Zone1	46	all	1587.367835
Zone1	47	all	1527.267668
Zone1	48	all	1498.33055
Zone1	49	all	1521.981079
Zone1	50	all	1513.077352
Zone1	51	all	1521.702838
Zone1	52	all	1547.857541
Zone1	53	all	1624.373957
Zone1	54	all	1730.662214
Zone1	55	all	1781.580412
Zone1	56	all	1768.22482
Zone1	57	all	1736.227045
Zone1	58	all	1713.689483
Zone1	59	all	1686.700056
Zone1	60	all	1666.388425
Zone1	61	all	1643.016138
Zone1	62	all	1631.329994
Zone1	63	all	1670.84029
Zone1	64	all	1767.946578
Zone1	65	all	1916.527546
Zone1	66	all	1920.144685
Zone1	67	all	1887.033946
Zone1	68	all	1851.14079
Zone1	69	all	1772.120201
Zone1	70	all	1681.135225
Zone1	71	all	1609.905398
Zone1	72	all	1578.185866
Zone1	73	all	1550.083472
Zone1	74	all	1532.554258
Zone1	75	all	1543.127435
Zone1	76	all	1587.367835
Zone1	77	all	1671.953256
Zone1	78	all	1794.657763
Zone1	79	all	1825.820813
Zone1	80	all	1795.492488
Zone1	81	all	1754.312743
Zone1	82	all	1715.358931
Zone1	83	all	1674.735671
Zone1	84	all	1653.032832
Zone1	85	all	1626.043405
Zone1	86	all	1625.765164
Zone1	87	all	1649.972176
Zone1	88	all	1753.75626
Zone1	89	all	1907.345576
Zone1	90	all	1912.632164
Zone1	91	all	1869.226488
Zone1	92	all	1820.534224
Zone1	93	all	1735.114079
Zone1	94	all	1657.206455
Zone1	95	all	1584.028937
Zone1	96	all	1549.805231
Zone1	97	all	1519.755148
Zone1	98	all	1513.077352
Zone1	99	all	1497.495827
Zone1	100	all	1528.658876
Zone1	101	all	1596.271564
Zone1	102	all	1731.218698
Zone1	103	all	1764.88592
Zone1	104	all	1715.358931
Zone1	105	all	1689.760712
Zone1	106	all	1684.195882
Zone1	107	all	1638.286032
Zone1	108	all	1630.217028
Zone1	109	all	1622.982749
Zone1	110	all	1631.329994
Zone1	111	all	1644.963829
Zone1	112	all	1725.097385
Zone1	113	all	1860.879244
Zone1	114	all	1858.375069
Zone1	115	all	1820.812465
Zone1	116	all	1769.894268
Zone1	117	all	1684.752365
Zone1	118	all	1609.070674
Zone1	119	all	1566.777964
Zone1	120	all	1517.250974
Zone1	121	all	1488.87034
Zone1	122	all	1490.81803
Zone1	123	all	1491.930996
Zone1	124	all	1524.207012
Zone1	125	all	1597.38453
Zone1	126	all	1732.331664
Zone1	127	all	1773.511408
Zone1	128	all	1737.618253
Zone1	129	all	1691.708402
Zone1	130	all	1645.520311
Zone1	131	all	1620.756817
Zone1	132	all	1578.185866
Zone1	133	all	1548.135782
Zone1	134	all	1565.108514
Zone1	135	all	1571.50807
Zone1	136	all	1643.29438
Zone1	137	all	1787.423484
Zone1	138	all	1787.979967
Zone1	139	all	1751.80857
Zone1	140	all	1719.810796
Zone1	141	all	1644.407346
Zone1	142	all	1571.50807
Zone1	143	all	1498.887034
Zone1	144	all	1460.211463
Zone1	145	all	1425.987757
Zone1	146	all	1418.475236
Zone1	147	all	1434.613244
Zone1	148	all	1451.585977
Zone1	149	all	1530.606566
Zone1	150	all	1655.537006
Zone1	151	all	1708.402894
Zone1	152	all	1673.344463
Zone1	153	all	1634.947134
Zone1	154	all	1613.244296
Zone1	155	all	1581.246522
Zone1	156	all	1553.978854
Zone1	157	all	1525.319977
Zone1	158	all	1533.11074
Zone1	159	all	1552.865887
Zone1	160	all	1624.095715
Zone1	161	all	1741.235393
Zone1	162	all	1732.888147
Zone1	163	all	1710.350585
Zone1	164	all	1678.909294
Zone1	165	all	1621.035059
Zone1	166	all	1550.361714
Zone1	167	all	1489.705064
Zone1	168	all	1464.941569
