LOAD_ZONES	timepoint	load_mw
Zone1	1	1626.599888
Zone1	2	1596.549805
Zone1	3	1586.811353
Zone1	4	1596.549805
Zone1	5	1615.470228
Zone1	6	1625.765164
Zone1	7	1630.217028
Zone1	8	1615.191986
Zone1	9	1626.599888
Zone1	10	1626.043405
Zone1	11	1607.122982
Zone1	12	1580.96828
Zone1	13	1584.863662
Zone1	14	1581.246522
Zone1	15	1621.869782
Zone1	16	1730.383973
Zone1	17	1873.121869
Zone1	18	1848.080134
Zone1	19	1813.856428
Zone1	20	1789.927657
Zone1	21	1738.452977
Zone1	22	1662.493044
Zone1	23	1605.175292
Zone1	24	1566.22148
Zone1	25	1539.232054
Zone1	26	1533.667223
Zone1	27	1533.667223
Zone1	28	1540.901502
Zone1	29	1565.664997
Zone1	30	1597.106288
Zone1	31	1645.520311
Zone1	32	1647.746244
Zone1	33	1645.24207
Zone1	34	1623.539232
Zone1	35	1603.227601
Zone1	36	1580.411797
Zone1	37	1566.777964
Zone1	38	1557.317752
Zone1	39	1585.420145
Zone1	40	1690.595437
Zone1	41	1840.289371
Zone1	42	1832.77685
Zone1	43	1806.90039
Zone1	44	1769.059543
Zone1	45	1696.438508
Zone1	46	1587.367835
Zone1	47	1527.267668
Zone1	48	1498.33055
Zone1	49	1521.981079
Zone1	50	1513.077352
Zone1	51	1521.702838
Zone1	52	1547.857541
Zone1	53	1624.373957
Zone1	54	1730.662214
Zone1	55	1781.580412
Zone1	56	1768.22482
Zone1	57	1736.227045
Zone1	58	1713.689483
Zone1	59	1686.700056
Zone1	60	1666.388425
Zone1	61	1643.016138
Zone1	62	1631.329994
Zone1	63	1670.84029
Zone1	64	1767.946578
Zone1	65	1916.527546
Zone1	66	1920.144685
Zone1	67	1887.033946
Zone1	68	1851.14079
Zone1	69	1772.120201
Zone1	70	1681.135225
Zone1	71	1609.905398
Zone1	72	1578.185866
Zone1	73	1550.083472
Zone1	74	1532.554258
Zone1	75	1543.127435
Zone1	76	1587.367835
Zone1	77	1671.953256
Zone1	78	1794.657763
Zone1	79	1825.820813
Zone1	80	1795.492488
Zone1	81	1754.312743
Zone1	82	1715.358931
Zone1	83	1674.735671
Zone1	84	1653.032832
Zone1	85	1626.043405
Zone1	86	1625.765164
Zone1	87	1649.972176
Zone1	88	1753.75626
Zone1	89	1907.345576
Zone1	90	1912.632164
Zone1	91	1869.226488
Zone1	92	1820.534224
Zone1	93	1735.114079
Zone1	94	1657.206455
Zone1	95	1584.028937
Zone1	96	1549.805231
Zone1	97	1519.755148
Zone1	98	1513.077352
Zone1	99	1497.495827
Zone1	100	1528.658876
Zone1	101	1596.271564
Zone1	102	1731.218698
Zone1	103	1764.88592
Zone1	104	1715.358931
Zone1	105	1689.760712
Zone1	106	1684.195882
Zone1	107	1638.286032
Zone1	108	1630.217028
Zone1	109	1622.982749
Zone1	110	1631.329994
Zone1	111	1644.963829
Zone1	112	1725.097385
Zone1	113	1860.879244
Zone1	114	1858.375069
Zone1	115	1820.812465
Zone1	116	1769.894268
Zone1	117	1684.752365
Zone1	118	1609.070674
Zone1	119	1566.777964
Zone1	120	1517.250974
Zone1	121	1488.87034
Zone1	122	1490.81803
Zone1	123	1491.930996
Zone1	124	1524.207012
Zone1	125	1597.38453
Zone1	126	1732.331664
Zone1	127	1773.511408
Zone1	128	1737.618253
Zone1	129	1691.708402
Zone1	130	1645.520311
Zone1	131	1620.756817
Zone1	132	1578.185866
Zone1	133	1548.135782
Zone1	134	1565.108514
Zone1	135	1571.50807
Zone1	136	1643.29438
Zone1	137	1787.423484
Zone1	138	1787.979967
Zone1	139	1751.80857
Zone1	140	1719.810796
Zone1	141	1644.407346
Zone1	142	1571.50807
Zone1	143	1498.887034
Zone1	144	1460.211463
Zone1	145	1425.987757
Zone1	146	1418.475236
Zone1	147	1434.613244
Zone1	148	1451.585977
Zone1	149	1530.606566
Zone1	150	1655.537006
Zone1	151	1708.402894
Zone1	152	1673.344463
Zone1	153	1634.947134
Zone1	154	1613.244296
Zone1	155	1581.246522
Zone1	156	1553.978854
Zone1	157	1525.319977
Zone1	158	1533.11074
Zone1	159	1552.865887
Zone1	160	1624.095715
Zone1	161	1741.235393
Zone1	162	1732.888147
Zone1	163	1710.350585
Zone1	164	1678.909294
Zone1	165	1621.035059
Zone1	166	1550.361714
Zone1	167	1489.705064
Zone1	168	1464.941569
