project	timepoint	availability_derate_independent	hyb_stor_cap_availability_derate_independent
Batteries	169	0.965	0.0
Batteries	170	0.965	0.0
Batteries	171	0.965	0.0
Batteries	172	0.965	0.0
Batteries	173	0.965	0.0
Batteries	174	0.965	0.0
Batteries	175	0.965	0.0
Batteries	176	0.965	0.0
Batteries	177	0.965	0.0
Batteries	178	0.965	0.0
Batteries	179	0.965	0.0
Batteries	180	0.965	0.0
Batteries	181	0.965	0.0
Batteries	182	0.965	0.0
Batteries	183	0.965	0.0
Batteries	184	0.965	0.0
Batteries	185	0.965	0.0
Batteries	186	0.965	0.0
Batteries	187	0.965	0.0
Batteries	188	0.965	0.0
Batteries	189	0.965	0.0
Batteries	190	0.965	0.0
Batteries	191	0.965	0.0
Batteries	192	0.965	0.0
Batteries	193	0.965	0.0
Batteries	194	0.965	0.0
Batteries	195	0.965	0.0
Batteries	196	0.965	0.0
Batteries	197	0.965	0.0
Batteries	198	0.965	0.0
Batteries	199	0.965	0.0
Batteries	200	0.965	0.0
Batteries	201	0.965	0.0
Batteries	202	0.965	0.0
Batteries	203	0.965	0.0
Batteries	204	0.965	0.0
Batteries	205	0.965	0.0
Batteries	206	0.965	0.0
Batteries	207	0.965	0.0
Batteries	208	0.965	0.0
Batteries	209	0.965	0.0
Batteries	210	0.965	0.0
Batteries	211	0.965	0.0
Batteries	212	0.965	0.0
Batteries	213	0.965	0.0
Batteries	214	0.965	0.0
Batteries	215	0.965	0.0
Batteries	216	0.965	0.0
Batteries	217	0.965	0.0
Batteries	218	0.965	0.0
Batteries	219	0.965	0.0
Batteries	220	0.965	0.0
Batteries	221	0.965	0.0
Batteries	222	0.965	0.0
Batteries	223	0.965	0.0
Batteries	224	0.965	0.0
Batteries	225	0.965	0.0
Batteries	226	0.965	0.0
Batteries	227	0.965	0.0
Batteries	228	0.965	0.0
Batteries	229	0.965	0.0
Batteries	230	0.965	0.0
Batteries	231	0.965	0.0
Batteries	232	0.965	0.0
Batteries	233	0.965	0.0
Batteries	234	0.965	0.0
Batteries	235	0.965	0.0
Batteries	236	0.965	0.0
Batteries	237	0.965	0.0
Batteries	238	0.965	0.0
Batteries	239	0.965	0.0
Batteries	240	0.965	0.0
Batteries	241	0.965	0.0
Batteries	242	0.965	0.0
Batteries	243	0.965	0.0
Batteries	244	0.965	0.0
Batteries	245	0.965	0.0
Batteries	246	0.965	0.0
Batteries	247	0.965	0.0
Batteries	248	0.965	0.0
Batteries	249	0.965	0.0
Batteries	250	0.965	0.0
Batteries	251	0.965	0.0
Batteries	252	0.965	0.0
Batteries	253	0.965	0.0
Batteries	254	0.965	0.0
Batteries	255	0.965	0.0
Batteries	256	0.965	0.0
Batteries	257	0.965	0.0
Batteries	258	0.965	0.0
Batteries	259	0.965	0.0
Batteries	260	0.965	0.0
Batteries	261	0.965	0.0
Batteries	262	0.965	0.0
Batteries	263	0.965	0.0
Batteries	264	0.965	0.0
Batteries	265	0.965	0.0
Batteries	266	0.965	0.0
Batteries	267	0.965	0.0
Batteries	268	0.965	0.0
Batteries	269	0.965	0.0
Batteries	270	0.965	0.0
Batteries	271	0.965	0.0
Batteries	272	0.965	0.0
Batteries	273	0.965	0.0
Batteries	274	0.965	0.0
Batteries	275	0.965	0.0
Batteries	276	0.965	0.0
Batteries	277	0.965	0.0
Batteries	278	0.965	0.0
Batteries	279	0.965	0.0
Batteries	280	0.965	0.0
Batteries	281	0.965	0.0
Batteries	282	0.965	0.0
Batteries	283	0.965	0.0
Batteries	284	0.965	0.0
Batteries	285	0.965	0.0
Batteries	286	0.965	0.0
Batteries	287	0.965	0.0
Batteries	288	0.965	0.0
Batteries	289	0.965	0.0
Batteries	290	0.965	0.0
Batteries	291	0.965	0.0
Batteries	292	0.965	0.0
Batteries	293	0.965	0.0
Batteries	294	0.965	0.0
Batteries	295	0.965	0.0
Batteries	296	0.965	0.0
Batteries	297	0.965	0.0
Batteries	298	0.965	0.0
Batteries	299	0.965	0.0
Batteries	300	0.965	0.0
Batteries	301	0.965	0.0
Batteries	302	0.965	0.0
Batteries	303	0.965	0.0
Batteries	304	0.965	0.0
Batteries	305	0.965	0.0
Batteries	306	0.965	0.0
Batteries	307	0.965	0.0
Batteries	308	0.965	0.0
Batteries	309	0.965	0.0
Batteries	310	0.965	0.0
Batteries	311	0.965	0.0
Batteries	312	0.965	0.0
Batteries	313	0.965	0.0
Batteries	314	0.965	0.0
Batteries	315	0.965	0.0
Batteries	316	0.965	0.0
Batteries	317	0.965	0.0
Batteries	318	0.965	0.0
Batteries	319	0.965	0.0
Batteries	320	0.965	0.0
Batteries	321	0.965	0.0
Batteries	322	0.965	0.0
Batteries	323	0.965	0.0
Batteries	324	0.965	0.0
Batteries	325	0.965	0.0
Batteries	326	0.965	0.0
Batteries	327	0.965	0.0
Batteries	328	0.965	0.0
Batteries	329	0.965	0.0
Batteries	330	0.965	0.0
Batteries	331	0.965	0.0
Batteries	332	0.965	0.0
Batteries	333	0.965	0.0
Batteries	334	0.965	0.0
Batteries	335	0.965	0.0
Batteries	336	0.965	0.0
Gas	169	0.7	0.0
Gas	170	0.7	0.0
Gas	171	0.7	0.0
Gas	172	0.7	0.0
Gas	173	0.7	0.0
Gas	174	0.7	0.0
Gas	175	0.7	0.0
Gas	176	0.7	0.0
Gas	177	0.7	0.0
Gas	178	0.7	0.0
Gas	179	0.7	0.0
Gas	180	0.7	0.0
Gas	181	0.7	0.0
Gas	182	0.7	0.0
Gas	183	0.7	0.0
Gas	184	0.7	0.0
Gas	185	0.7	0.0
Gas	186	0.7	0.0
Gas	187	0.7	0.0
Gas	188	0.7	0.0
Gas	189	0.7	0.0
Gas	190	1.0	0.0
Gas	191	1.0	0.0
Gas	192	1.0	0.0
