load_zone	timepoint	load_component	load_mw
Zone1	1	all	1536.171397
Zone1	2	all	1511.407902
Zone1	3	all	1504.173623
Zone1	4	all	1512.242627
Zone1	5	all	1527.54591
Zone1	6	all	1547.301058
Zone1	7	all	1536.727879
Zone1	8	all	1528.937118
Zone1	9	all	1519.198664
Zone1	10	all	1519.755148
Zone1	11	all	1491.374513
Zone1	12	all	1465.498052
Zone1	13	all	1449.638286
Zone1	14	all	1450.194769
Zone1	15	all	1479.688369
Zone1	16	all	1579.02059
Zone1	17	all	1729.271008
Zone1	18	all	1721.758487
Zone1	19	all	1689.204229
Zone1	20	all	1664.162494
Zone1	21	all	1627.712855
Zone1	22	all	1585.420145
Zone1	23	all	1532.276016
Zone1	24	all	1492.487479
Zone1	25	all	1430.717863
Zone1	26	all	1408.180301
Zone1	27	all	1411.519199
Zone1	28	all	1428.21369
Zone1	29	all	1465.498052
Zone1	30	all	1516.138008
Zone1	31	all	1584.028937
Zone1	32	all	1586.811353
Zone1	33	all	1603.505843
Zone1	34	all	1594.602115
Zone1	35	all	1558.430718
Zone1	36	all	1544.240401
Zone1	37	all	1550.083472
Zone1	38	all	1537.562604
Zone1	39	all	1567.612688
Zone1	40	all	1654.980523
Zone1	41	all	1800.779076
Zone1	42	all	1772.398442
Zone1	43	all	1742.904841
Zone1	44	all	1714.802448
Zone1	45	all	1649.972176
Zone1	46	all	1587.924318
Zone1	47	all	1529.771842
Zone1	48	all	1479.131886
Zone1	49	all	1456.872565
Zone1	50	all	1443.516973
Zone1	51	all	1436.282693
Zone1	52	all	1444.90818
Zone1	53	all	1471.341124
Zone1	54	all	1501.391208
Zone1	55	all	1544.796883
Zone1	56	all	1526.432944
Zone1	57	all	1534.780189
Zone1	58	all	1535.058431
Zone1	59	all	1530.606566
Zone1	60	all	1520.868114
Zone1	61	all	1529.215358
Zone1	62	all	1555.926545
Zone1	63	all	1598.775737
Zone1	64	all	1693.656094
Zone1	65	all	1819.421257
Zone1	66	all	1790.48414
Zone1	67	all	1754.312743
Zone1	68	all	1713.967724
Zone1	69	all	1651.363384
Zone1	70	all	1564.552031
Zone1	71	all	1502.225932
Zone1	72	all	1487.20089
Zone1	73	all	1511.686144
Zone1	74	all	1512.242627
Zone1	75	all	1525.598219
Zone1	76	all	1560.65665
Zone1	77	all	1634.112409
Zone1	78	all	1762.381747
Zone1	79	all	1809.682805
Zone1	80	all	1787.145242
Zone1	81	all	1750.417362
Zone1	82	all	1727.8798
Zone1	83	all	1692.264886
Zone1	84	all	1669.17084
Zone1	85	all	1637.173067
Zone1	86	all	1636.616584
Zone1	87	all	1655.537006
Zone1	88	all	1731.218698
Zone1	89	all	1875.904285
Zone1	90	all	1881.469115
Zone1	91	all	1844.184752
Zone1	92	all	1775.459099
Zone1	93	all	1732.053422
Zone1	94	all	1643.016138
Zone1	95	all	1570.951586
Zone1	96	all	1535.336672
Zone1	97	all	1511.407902
Zone1	98	all	1502.782415
Zone1	99	all	1503.895381
Zone1	100	all	1531.16305
Zone1	101	all	1611.574847
Zone1	102	all	1741.513634
Zone1	103	all	1791.040624
Zone1	104	all	1769.337785
Zone1	105	all	1718.419589
Zone1	106	all	1695.047302
Zone1	107	all	1657.484696
Zone1	108	all	1637.729549
Zone1	109	all	1620.478576
Zone1	110	all	1627.991096
Zone1	111	all	1648.580969
Zone1	112	all	1719.254312
Zone1	113	all	1840.567613
Zone1	114	all	1812.46522
Zone1	115	all	1766.55537
Zone1	116	all	1735.39232
Zone1	117	all	1645.520311
Zone1	118	all	1595.436839
Zone1	119	all	1512.520868
Zone1	120	all	1476.07123
Zone1	121	all	1447.134113
Zone1	122	all	1440.734557
Zone1	123	all	1441.012799
Zone1	124	all	1481.079577
Zone1	125	all	1562.604341
Zone1	126	all	1703.116304
Zone1	127	all	1767.946578
Zone1	128	all	1782.415136
Zone1	129	all	1783.528103
Zone1	130	all	1788.258208
Zone1	131	all	1777.128547
Zone1	132	all	1772.398442
Zone1	133	all	1755.42571
Zone1	134	all	1777.963272
Zone1	135	all	1814.412911
Zone1	136	all	1904.56316
Zone1	137	all	2019.755148
Zone1	138	all	2000.834724
Zone1	139	all	1933.77852
Zone1	140	all	1893.4335
Zone1	141	all	1835.002782
Zone1	142	all	1746.521981
Zone1	143	all	1675.013912
Zone1	144	all	1643.016138
Zone1	145	all	1626.321647
Zone1	146	all	1627.712855
Zone1	147	all	1633.834168
Zone1	148	all	1664.440734
Zone1	149	all	1732.331664
Zone1	150	all	1840.01113
Zone1	151	all	1880.634391
Zone1	152	all	1851.697273
Zone1	153	all	1833.611575
Zone1	154	all	1806.622148
Zone1	155	all	1775.73734
Zone1	156	all	1759.042849
Zone1	157	all	1728.158041
Zone1	158	all	1723.984418
Zone1	159	all	1746.800222
Zone1	160	all	1841.680579
Zone1	161	all	1985.253199
Zone1	162	all	1997.217584
Zone1	163	all	1962.715637
Zone1	164	all	1909.84975
Zone1	165	all	1828.324986
Zone1	166	all	1763.216472
Zone1	167	all	1725.097385
Zone1	168	all	1696.160267
