project	timepoint	cap_factor
Hybrid	1	0.0
Hybrid	2	0.0
Hybrid	3	0.0
Hybrid	4	0.0
Hybrid	5	0.0
Hybrid	6	0.0
Hybrid	7	0.0
Hybrid	8	0.195857389
Hybrid	9	0.497280057
Hybrid	10	0.538350719
Hybrid	11	0.512694068
Hybrid	12	0.491634538
Hybrid	13	0.498522586
Hybrid	14	0.512550323
Hybrid	15	0.494409867
Hybrid	16	0.30426757
Hybrid	17	0.0
Hybrid	18	0.0
Hybrid	19	0.0
Hybrid	20	0.0
Hybrid	21	0.0
Hybrid	22	0.0
Hybrid	23	0.0
Hybrid	24	0.0
Hybrid	25	0.0
Hybrid	26	0.0
Hybrid	27	0.0
Hybrid	28	0.0
Hybrid	29	0.0
Hybrid	30	0.0
Hybrid	31	0.0
Hybrid	32	0.19679402
Hybrid	33	0.513939495
Hybrid	34	0.553373241
Hybrid	35	0.529780943
Hybrid	36	0.507689767
Hybrid	37	0.516055715
Hybrid	38	0.535668239
Hybrid	39	0.529607216
Hybrid	40	0.344229058
Hybrid	41	0.0
Hybrid	42	0.0
Hybrid	43	0.0
Hybrid	44	0.0
Hybrid	45	0.0
Hybrid	46	0.0
Hybrid	47	0.0
Hybrid	48	0.0
Hybrid	49	0.0
Hybrid	50	0.0
Hybrid	51	0.0
Hybrid	52	0.0
Hybrid	53	0.0
Hybrid	54	0.0
Hybrid	55	0.0
Hybrid	56	0.198857567
Hybrid	57	0.510325463
Hybrid	58	0.552592116
Hybrid	59	0.516849774
Hybrid	60	0.497752727
Hybrid	61	0.50358295
Hybrid	62	0.509972706
Hybrid	63	0.487190957
Hybrid	64	0.292902858
Hybrid	65	0.0
Hybrid	66	0.0
Hybrid	67	0.0
Hybrid	68	0.0
Hybrid	69	0.0
Hybrid	70	0.0
Hybrid	71	0.0
Hybrid	72	0.0
Hybrid	73	0.0
Hybrid	74	0.0
Hybrid	75	0.0
Hybrid	76	0.0
Hybrid	77	0.0
Hybrid	78	0.0
Hybrid	79	0.0
Hybrid	80	0.195379431
Hybrid	81	0.467455942
Hybrid	82	0.548347938
Hybrid	83	0.52580578
Hybrid	84	0.502199993
Hybrid	85	0.363565914
Hybrid	86	0.482092442
Hybrid	87	0.207051902
Hybrid	88	0.273721082
Hybrid	89	0.0
Hybrid	90	0.0
Hybrid	91	0.0
Hybrid	92	0.0
Hybrid	93	0.0
Hybrid	94	0.0
Hybrid	95	0.0
Hybrid	96	0.0
Hybrid	97	0.0
Hybrid	98	0.0
Hybrid	99	0.0
Hybrid	100	0.0
Hybrid	101	0.0
Hybrid	102	0.0
Hybrid	103	0.0
Hybrid	104	0.19542332
Hybrid	105	0.511879637
Hybrid	106	0.552739271
Hybrid	107	0.520528631
Hybrid	108	0.41164432
Hybrid	109	0.503708734
Hybrid	110	0.514630074
Hybrid	111	0.501334961
Hybrid	112	0.333065074
Hybrid	113	0.0
Hybrid	114	0.0
Hybrid	115	0.0
Hybrid	116	0.0
Hybrid	117	0.0
Hybrid	118	0.0
Hybrid	119	0.0
Hybrid	120	0.0
Hybrid	121	0.0
