LOAD_ZONES	timepoint	load_component	load_mw
Zone1	169	all	1672.78798
Zone1	170	all	1670.84029
Zone1	171	all	1676.683361
Zone1	172	all	1707.84641
Zone1	173	all	1769.894268
Zone1	174	all	1888.425154
Zone1	175	all	1929.604897
Zone1	176	all	1909.571508
Zone1	177	all	1861.435727
Zone1	178	all	1814.412911
Zone1	179	all	1759.042849
Zone1	180	all	1709.237618
Zone1	181	all	1683.91764
Zone1	182	all	1673.344463
Zone1	183	all	1693.09961
Zone1	184	all	1759.599332
Zone1	185	all	1895.381191
Zone1	186	all	1887.033946
Zone1	187	all	1846.688926
Zone1	188	all	1804.117974
Zone1	189	all	1757.3734
Zone1	190	all	1706.455204
Zone1	191	all	1649.137451
Zone1	192	all	1613.522538
Zone1	193	all	1545.631608
Zone1	194	all	1520.868114
Zone1	195	all	1531.719533
Zone1	196	all	1550.361714
Zone1	197	all	1589.593768
Zone1	198	all	1636.0601
Zone1	199	all	1676.405119
Zone1	200	all	1670.84029
Zone1	201	all	1651.363384
Zone1	202	all	1618.809126
Zone1	203	all	1582.359488
Zone1	204	all	1546.744574
Zone1	205	all	1543.683918
Zone1	206	all	1525.87646
Zone1	207	all	1544.518642
Zone1	208	all	1629.382304
Zone1	209	all	1776.850306
Zone1	210	all	1760.712299
Zone1	211	all	1727.045075
Zone1	212	all	1697.829716
Zone1	213	all	1643.850863
Zone1	214	all	1569.003895
Zone1	215	all	1520.311631
Zone1	216	all	1506.956038
Zone1	217	all	1476.07123
Zone1	218	all	1471.062882
Zone1	219	all	1466.88926
Zone1	220	all	1479.688369
Zone1	221	all	1507.790762
Zone1	222	all	1550.918197
Zone1	223	all	1591.541458
Zone1	224	all	1582.359488
Zone1	225	all	1575.959933
Zone1	226	all	1560.65665
Zone1	227	all	1523.92877
Zone1	228	all	1510.573177
Zone1	229	all	1517.529215
Zone1	230	all	1516.694491
Zone1	231	all	1546.744574
Zone1	232	all	1638.286032
Zone1	233	all	1768.503061
Zone1	234	all	1757.3734
Zone1	235	all	1729.271008
Zone1	236	all	1687.256539
Zone1	237	all	1612.966055
Zone1	238	all	1531.997774
Zone1	239	all	1474.958263
Zone1	240	all	1453.255426
Zone1	241	all	1464.106844
Zone1	242	all	1475.792988
Zone1	243	all	1489.705064
Zone1	244	all	1530.328325
Zone1	245	all	1612.409572
Zone1	246	all	1758.208124
Zone1	247	all	1789.092932
Zone1	248	all	1740.67891
Zone1	249	all	1706.733445
Zone1	250	all	1676.961602
Zone1	251	all	1644.963829
Zone1	252	all	1616.861436
Zone1	253	all	1584.307178
Zone1	254	all	1573.45576
Zone1	255	all	1599.053978
Zone1	256	all	1667.22315
Zone1	257	all	1798.831386
Zone1	258	all	1813.021703
Zone1	259	all	1794.936005
Zone1	260	all	1763.772955
Zone1	261	all	1683.639398
Zone1	262	all	1602.392878
Zone1	263	all	1538.119087
Zone1	264	all	1495.826377
Zone1	265	all	1488.87034
Zone1	266	all	1482.192544
Zone1	267	all	1493.600446
Zone1	268	all	1538.953812
Zone1	269	all	1614.07902
Zone1	270	all	1757.929883
Zone1	271	all	1805.509182
Zone1	272	all	1760.434057
Zone1	273	all	1703.116304
Zone1	274	all	1669.17084
Zone1	275	all	1636.338342
Zone1	276	all	1611.296605
Zone1	277	all	1590.150251
Zone1	278	all	1585.420145
Zone1	279	all	1608.792432
Zone1	280	all	1671.675014
Zone1	281	all	1775.73734
Zone1	282	all	1787.701726
Zone1	283	all	1754.034502
Zone1	284	all	1714.802448
Zone1	285	all	1648.024486
Zone1	286	all	1587.367835
Zone1	287	all	1519.198664
Zone1	288	all	1482.192544
Zone1	289	all	1464.941569
Zone1	290	all	1462.715638
Zone1	291	all	1466.332777
Zone1	292	all	1503.338898
Zone1	293	all	1581.524764
Zone1	294	all	1718.697829
Zone1	295	all	1765.720645
Zone1	296	all	1737.618253
Zone1	297	all	1698.3862
Zone1	298	all	1659.710629
Zone1	299	all	1626.043405
Zone1	300	all	1604.618809
Zone1	301	all	1584.307178
Zone1	302	all	1578.464107
Zone1	303	all	1599.33222
Zone1	304	all	1665.275459
Zone1	305	all	1790.762382
Zone1	306	all	1789.371174
Zone1	307	all	1755.147468
Zone1	308	all	1709.237618
Zone1	309	all	1632.442961
Zone1	310	all	1555.09182
Zone1	311	all	1486.087925
Zone1	312	all	1461.880913
Zone1	313	all	1439.065109
Zone1	314	all	1433.77852
Zone1	315	all	1446.021146
Zone1	316	all	1482.470785
Zone1	317	all	1564.830272
Zone1	318	all	1708.402894
Zone1	319	all	1766.277128
Zone1	320	all	1732.609906
Zone1	321	all	1695.603784
Zone1	322	all	1669.449082
Zone1	323	all	1634.947134
Zone1	324	all	1614.635503
Zone1	325	all	1589.872009
Zone1	326	all	1591.263216
Zone1	327	all	1592.654424
Zone1	328	all	1662.214802
Zone1	329	all	1783.528103
Zone1	330	all	1792.43183
Zone1	331	all	1770.17251
Zone1	332	all	1733.44463
Zone1	333	all	1674.457429
Zone1	334	all	1604.897051
Zone1	335	all	1536.727879
Zone1	336	all	1503.61714
