horizon	balancing_type_horizon	timepoint
1	week	1
1	week	2
1	week	3
1	week	4
1	week	5
1	week	6
1	week	7
1	week	8
1	week	9
1	week	10
1	week	11
1	week	12
1	week	13
1	week	14
1	week	15
1	week	16
1	week	17
1	week	18
1	week	19
1	week	20
1	week	21
1	week	22
1	week	23
1	week	24
1	week	25
1	week	26
1	week	27
1	week	28
1	week	29
1	week	30
1	week	31
1	week	32
1	week	33
1	week	34
1	week	35
1	week	36
1	week	37
1	week	38
1	week	39
1	week	40
1	week	41
1	week	42
1	week	43
1	week	44
1	week	45
1	week	46
1	week	47
1	week	48
1	week	49
1	week	50
1	week	51
1	week	52
1	week	53
1	week	54
1	week	55
1	week	56
1	week	57
1	week	58
1	week	59
1	week	60
1	week	61
1	week	62
1	week	63
1	week	64
1	week	65
1	week	66
1	week	67
1	week	68
1	week	69
1	week	70
1	week	71
1	week	72
1	week	73
1	week	74
1	week	75
1	week	76
1	week	77
1	week	78
1	week	79
1	week	80
1	week	81
1	week	82
1	week	83
1	week	84
1	week	85
1	week	86
1	week	87
1	week	88
1	week	89
1	week	90
1	week	91
1	week	92
1	week	93
1	week	94
1	week	95
1	week	96
1	week	97
1	week	98
1	week	99
1	week	100
1	week	101
1	week	102
1	week	103
1	week	104
1	week	105
1	week	106
1	week	107
1	week	108
1	week	109
1	week	110
1	week	111
1	week	112
1	week	113
1	week	114
1	week	115
1	week	116
1	week	117
1	week	118
1	week	119
1	week	120
1	week	121
1	week	122
1	week	123
1	week	124
1	week	125
1	week	126
1	week	127
1	week	128
1	week	129
1	week	130
1	week	131
1	week	132
1	week	133
1	week	134
1	week	135
1	week	136
1	week	137
1	week	138
1	week	139
1	week	140
1	week	141
1	week	142
1	week	143
1	week	144
1	week	145
1	week	146
1	week	147
1	week	148
1	week	149
1	week	150
1	week	151
1	week	152
1	week	153
1	week	154
1	week	155
1	week	156
1	week	157
1	week	158
1	week	159
1	week	160
1	week	161
1	week	162
1	week	163
1	week	164
1	week	165
1	week	166
1	week	167
1	week	168
