project,period,fixed_cost_per_mw_yr,hyb_gen_fixed_cost_per_mw_yr,hyb_stor_fixed_cost_per_mw_yr,fixed_cost_per_mwh_year,fuel_production_capacity_fixed_cost_per_fuelunitperhour_yr,fuel_release_capacity_fixed_cost_per_fuelunitperhour_yr,fuel_storage_capacity_fixed_cost_per_fuelunit_yr
10003__GEN1,2026,0,,,,,,
10003__GEN2,2026,0,,,,,,
10003__GEN3,2026,0,,,,,,
10018__GEN2,2026,0,,,,,,
10018__OEC2,2026,0,,,,,,
10026__EG10,2026,0,,,,,,
10026__EG20,2026,0,,,,,,
10026__EG30,2026,0,,,,,,
10026__EG40,2026,0,,,,,,
10034__GEN1,2026,0,,,,,,
10034__GEN2,2026,0,,,,,,
10042__KDHT1,2026,0,,,,,,
10052__GEN1,2026,0,,,,,,
10091__G2,2026,0,,,,,,
10091__G3,2026,0,,,,,,
10091__GEN1,2026,0,,,,,,
10091__GEN4,2026,0,,,,,,
10115__GEN3,2026,0,,,,,,
10144__GEN4,2026,0,,,,,,
10156__BESS1,2026,0,,,0.0,,,
10156__GEN3,2026,0,,,,,,
10156__GEN4,2026,0,,,,,,
10169__GEN1,2026,0,,,,,,
10169__GEN2,2026,0,,,,,,
10175__1711,2026,0,,,,,,
10175__5083,2026,0,,,,,,
10175__5084,2026,0,,,,,,
10175__5085,2026,0,,,,,,
10175__799,2026,0,,,,,,
10180__1,2026,0,,,,,,
10180__2,2026,0,,,,,,
10180__3,2026,0,,,,,,
10180__4,2026,0,,,,,,
10180__5,2026,0,,,,,,
10180__6,2026,0,,,,,,
10206__GEN1,2026,0,,,,,,
10206__GEN2,2026,0,,,,,,
10206__GEN4,2026,0,,,,,,
10206__GEN5,2026,0,,,,,,
10213__GEN1,2026,0,,,,,,
10213__GEN2,2026,0,,,,,,
10213__GEN5,2026,0,,,,,,
10213__GEN6,2026,0,,,,,,
10213__GEN7,2026,0,,,,,,
10213__GEN8,2026,0,,,,,,
10215__1138,2026,0,,,,,,
10215__1258,2026,0,,,,,,
10215__1260,2026,0,,,,,,
10262__GEN3,2026,0,,,,,,
10262__GEN4,2026,0,,,,,,
10262__GEN5,2026,0,,,,,,
10262__GEN6,2026,0,,,,,,
10262__GEN7,2026,0,,,,,,
10262__GEN8,2026,0,,,,,,
10287__GEN1,2026,0,,,,,,
10287__GEN2,2026,0,,,,,,
10288__IS27,2026,0,,,,,,
10294__GTG,2026,0,,,,,,
10294__STG,2026,0,,,,,,
10300__GEN1,2026,0,,,,,,
10339__GEN1,2026,0,,,,,,
10339__GEN2,2026,0,,,,,,
10339__GEN3,2026,0,,,,,,
10339__GEN4,2026,0,,,,,,
10342__TG1,2026,0,,,,,,
10342__TG2,2026,0,,,,,,
10342__TG3,2026,0,,,,,,
10349__GEN1,2026,0,,,,,,
10350__CTGA,2026,0,,,,,,
10350__CTGB,2026,0,,,,,,
10387__1A,2026,0,,,,,,
10387__2A,2026,0,,,,,,
10387__3,2026,0,,,,,,
10405__GEN1,2026,0,,,,,,
10405__GEN2,2026,0,,,,,,
10427__GEN2,2026,0,,,,,,
10427__GEN3,2026,0,,,,,,
10446__GEN1,2026,0,,,,,,
10472__GEN1,2026,0,,,,,,
10479__T101,2026,0,,,,,,
10479__T102,2026,0,,,,,,
10479__T103,2026,0,,,,,,
10480__GEN1,2026,0,,,,,,
10480__GEN2,2026,0,,,,,,
10481__1,2026,0,,,,,,
10481__2,2026,0,,,,,,
10481__3,2026,0,,,,,,
10496__GTAG,2026,0,,,,,,
10496__GTBG,2026,0,,,,,,
10496__GTCG,2026,0,,,,,,
10496__GTDG,2026,0,,,,,,
104__1,2026,0,,,0.0,,,
10501__K100,2026,0,,,,,,
10504__1500,2026,0,,,,,,
10504__2500,2026,0,,,,,,
