project,period,horizon,timepoint,timepoint_weight,number_of_hours_in_timepoint,load_zone,technology,fuel,operations_fuel_burn_mmbtu,startup_fuel_burn_mmbtu,total_fuel_burn_mmbtu,fuel_contribution_fuelunit,net_fuel_burn_fuelunit
Coal,2020,202001,20200101,4380.0,1,Zone1,Coal,Coal,0.0,,0.0,0,0.0
Coal,2020,202001,20200102,4380.0,1,Zone1,Coal,Coal,0.0,,0.0,0,0.0
Coal,2030,203001,20300101,4380.0,1,Zone1,Coal,Coal,0.0,,0.0,0,0.0
Coal,2030,203001,20300102,4380.0,1,Zone1,Coal,Coal,0.0,,0.0,0,0.0
Coal_z2,2020,202001,20200101,4380.0,1,Zone2,Coal,Coal,333.33333,,333.33333,0,333.33333
Coal_z2,2020,202001,20200102,4380.0,1,Zone2,Coal,Coal,3016.0,,3016.0,0,3016.0
Coal_z2,2030,203001,20300101,4380.0,1,Zone2,Coal,Coal,333.33333,,333.33333,0,333.33333
Coal_z2,2030,203001,20300102,4380.0,1,Zone2,Coal,Coal,3016.0,,3016.0,0,3016.0
Gas_CCGT,2020,202001,20200101,4380.0,1,Zone1,Gas,Gas,1536.0,,1536.0,0,1536.0
Gas_CCGT,2020,202001,20200102,4380.0,1,Zone1,Gas,Gas,1536.0,,1536.0,0,1536.0
Gas_CCGT,2030,203001,20300101,4380.0,1,Zone1,Gas,Gas,1526.4,,1526.4,0,1526.4
Gas_CCGT,2030,203001,20300102,4380.0,1,Zone1,Gas,Gas,1526.4,,1526.4,0,1526.4
Gas_CCGT_new,2020,202001,20200101,4380.0,1,Zone1,Gas,Gas,16303.733,,16303.733,0,16303.733
Gas_CCGT_new,2020,202001,20200102,4380.0,1,Zone1,Gas,Gas,11035.2,,11035.2,0,11035.2
Gas_CCGT_new,2030,203001,20300101,4380.0,1,Zone1,Gas,Gas,168.26667,,168.26667,0,168.26667
Gas_CCGT_new,2030,203001,20300102,4380.0,1,Zone1,Gas,Gas,1862.9333,,1862.9333,0,1862.9333
Gas_CCGT_z2,2020,202001,20200101,4380.0,1,Zone2,Gas,Gas,1526.4,,1526.4,0,1526.4
Gas_CCGT_z2,2020,202001,20200102,4380.0,1,Zone2,Gas,Gas,1528.8,,1528.8,0,1528.8
Gas_CCGT_z2,2030,203001,20300101,4380.0,1,Zone2,Gas,Gas,1526.4,,1526.4,0,1526.4
Gas_CCGT_z2,2030,203001,20300102,4380.0,1,Zone2,Gas,Gas,1528.8,,1528.8,0,1528.8
Gas_CT,2020,202001,20200101,4380.0,1,Zone1,Gas,Gas,528.79998,,528.79998,0,528.79998
Gas_CT,2020,202001,20200102,4380.0,1,Zone1,Gas,Gas,528.79998,,528.79998,0,528.79998
Gas_CT,2030,203001,20300101,4380.0,1,Zone1,Gas,Gas,0.0,,0.0,0,0.0
Gas_CT,2030,203001,20300102,4380.0,1,Zone1,Gas,Gas,528.79998,,528.79998,0,528.79998
Gas_CT_new,2030,203001,20300101,4380.0,1,Zone1,Gas,Gas,4853.2087,,4853.2087,0,4853.2087
Gas_CT_new,2030,203001,20300102,4380.0,1,Zone1,Gas,Gas,4923.7154,,4923.7154,0,4923.7154
Gas_CT_z2,2020,202001,20200101,4380.0,1,Zone2,Gas,Gas,528.79998,,528.79998,0,528.79998
Gas_CT_z2,2020,202001,20200102,4380.0,1,Zone2,Gas,Gas,528.79998,,528.79998,0,528.79998
Gas_CT_z2,2030,203001,20300101,4380.0,1,Zone2,Gas,Gas,0.0,,0.0,0,0.0
Gas_CT_z2,2030,203001,20300102,4380.0,1,Zone2,Gas,Gas,528.79998,,528.79998,0,528.79998
Nuclear,2020,202001,20200101,4380.0,1,Zone1,Nuclear,Uranium,10000.02,,10000.02,0,10000.02
Nuclear,2020,202001,20200102,4380.0,1,Zone1,Nuclear,Uranium,10000.02,,10000.02,0,10000.02
Nuclear,2030,203001,20300101,4380.0,1,Zone1,Nuclear,Uranium,10000.02,,10000.02,0,10000.02
Nuclear,2030,203001,20300102,4380.0,1,Zone1,Nuclear,Uranium,10000.02,,10000.02,0,10000.02
Nuclear_z2,2020,202001,20200101,4380.0,1,Zone2,Nuclear,Uranium,10000.02,,10000.02,0,10000.02
Nuclear_z2,2020,202001,20200102,4380.0,1,Zone2,Nuclear,Uranium,10000.02,,10000.02,0,10000.02
Nuclear_z2,2030,203001,20300101,4380.0,1,Zone2,Nuclear,Uranium,10000.02,,10000.02,0,10000.02
Nuclear_z2,2030,203001,20300102,4380.0,1,Zone2,Nuclear,Uranium,10000.02,,10000.02,0,10000.02
