project,period,capacity_type,availability_type,operational_type,technology,load_zone,capacity_mw,hyb_gen_capacity_mw,hyb_stor_capacity_mw,energy_capacity_mwh,fuel_prod_capacity_fuelunitperhour,fuel_rel_capacity_fuelunitperhour,fuel_stor_capacity_fuelunit,new_build_mw,min_build_power_dual,max_build_power_dual,min_total_power_dual,max_total_power_dual,min_build_energy_dual,max_build_energy_dual,min_total_energy_dual,max_total_energy_dual,capacity_cost,hours_in_period_timepoints,hours_in_subproblem_period,fixed_cost
Coal,2020,gen_spec,exogenous,gen_commit_cap,Coal,Zone1,6.0,0,0,0,0,0,0,,,,,,,,,,,8760.0,8760.0,0.0
Coal,2030,gen_spec,exogenous,gen_commit_cap,Coal,Zone1,6.0,0,0,0,0,0,0,,,,,,,,,,,8760.0,8760.0,0.0
Coal_z2,2020,gen_spec,exogenous,gen_commit_cap,Coal,Zone2,6.0,0,0,0,0,0,0,,,,,,,,,,,8760.0,8760.0,0.0
Coal_z2,2030,gen_spec,exogenous,gen_commit_cap,Coal,Zone2,6.0,0,0,0,0,0,0,,,,,,,,,,,8760.0,8760.0,0.0
Gas_CCGT,2020,gen_spec,exogenous,gen_commit_cap,Gas,Zone1,6.0,0,0,0,0,0,0,,,,,,,,,,,8760.0,8760.0,0.0
Gas_CCGT,2030,gen_spec,exogenous,gen_commit_cap,Gas,Zone1,6.0,0,0,0,0,0,0,,,,,,,,,,,8760.0,8760.0,0.0
Gas_CCGT_new,2020,gen_new_lin,exogenous,gen_commit_cap,Gas,Zone1,63.733333,0,0,0,0,0,0,63.733333,,,,,,,,,12746666.6,8760.0,8760.0,0.0
Gas_CCGT_new,2030,gen_new_lin,exogenous,gen_commit_cap,Gas,Zone1,63.733333,0,0,0,0,0,0,0.0,,,,,,,,,12746666.6,8760.0,8760.0,0.0
Gas_CCGT_z2,2020,gen_spec,exogenous,gen_commit_cap,Gas,Zone2,6.0,0,0,0,0,0,0,,,,,,,,,,,8760.0,8760.0,0.0
Gas_CCGT_z2,2030,gen_spec,exogenous,gen_commit_cap,Gas,Zone2,6.0,0,0,0,0,0,0,,,,,,,,,,,8760.0,8760.0,0.0
Gas_CT,2020,gen_spec,exogenous,gen_commit_cap,Gas,Zone1,6.0,0,0,0,0,0,0,,,,,,,,,,,8760.0,8760.0,0.0
Gas_CT,2030,gen_spec,exogenous,gen_commit_cap,Gas,Zone1,6.0,0,0,0,0,0,0,,,,,,,,,,,8760.0,8760.0,0.0
Gas_CT_new,2030,gen_new_lin,exogenous,gen_commit_cap,Gas,Zone1,55.866667,0,0,0,0,0,0,55.866667,,,,,,,,,7821333.38,8760.0,8760.0,0.0
Gas_CT_z2,2020,gen_spec,exogenous,gen_commit_cap,Gas,Zone2,6.0,0,0,0,0,0,0,,,,,,,,,,,8760.0,8760.0,0.0
Gas_CT_z2,2030,gen_spec,exogenous,gen_commit_cap,Gas,Zone2,6.0,0,0,0,0,0,0,,,,,,,,,,,8760.0,8760.0,0.0
Nuclear,2020,gen_spec,exogenous,gen_must_run,Nuclear,Zone1,6.0,0,0,0,0,0,0,,,,,,,,,,,8760.0,8760.0,0.0
Nuclear,2030,gen_spec,exogenous,gen_must_run,Nuclear,Zone1,6.0,0,0,0,0,0,0,,,,,,,,,,,8760.0,8760.0,0.0
Nuclear_z2,2020,gen_spec,exogenous,gen_must_run,Nuclear,Zone2,6.0,0,0,0,0,0,0,,,,,,,,,,,8760.0,8760.0,0.0
Nuclear_z2,2030,gen_spec,exogenous,gen_must_run,Nuclear,Zone2,6.0,0,0,0,0,0,0,,,,,,,,,,,8760.0,8760.0,0.0
Wind,2020,gen_spec,exogenous,gen_var,Wind,Zone1,2.0,0,0,0,0,0,0,,,,,,,,,,,8760.0,8760.0,0.0
Wind,2030,gen_spec,exogenous,gen_var,Wind,Zone1,2.0,0,0,0,0,0,0,,,,,,,,,,,8760.0,8760.0,0.0
Wind_z2,2020,gen_spec,exogenous,gen_var,Wind,Zone2,2.0,0,0,0,0,0,0,,,,,,,,,,,8760.0,8760.0,0.0
Wind_z2,2030,gen_spec,exogenous,gen_var,Wind,Zone2,2.0,0,0,0,0,0,0,,,,,,,,,,,8760.0,8760.0,0.0
