project,timepoint,period,horizon,capacity_type,availability_type,operational_type,balancing_type,timepoint_weight,number_of_hours_in_timepoint,load_zone,technology,capacity_mw,availability_derate,lf_reserves_up_ba,lf_reserves_up_reserve_provision_mw,lf_reserves_down_ba,lf_reserves_down_reserve_provision_mw,regulation_up_ba,regulation_up_reserve_provision_mw,regulation_down_ba,regulation_down_reserve_provision_mw,power_mw,gross_power_mw,auxiliary_consumption_mw,net_power_mw,committed_mw,committed_units,scheduled_curtailment_mw,subhourly_curtailment_mw,subhourly_energy_delivered_mw,total_curtailment_mw,variable_om_cost,fuel_cost,startup_cost,shutdown_cost,operational_violation_cost,curtailment_cost,soc_penalty_cost,soc_last_tmp_penalty_cost,carbon_emissions_tons
Coal,20200101,2020,202001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone1,Coal,6.0,1,,,,,Zone1,0.0,Zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0
Coal,20200102,2020,202001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone1,Coal,6.0,1,,,,,Zone1,0.0,Zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0
Coal,20300101,2030,203001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone1,Coal,6.0,1,,,,,Zone1,0.0,Zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0
Coal,20300102,2030,203001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone1,Coal,6.0,1,,,,,Zone1,0.0,Zone1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0
Coal_z2,20200101,2020,202001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone2,Coal,6.0,1,,,,,Zone2,0.4,Zone2,0.0,0.26666667,0.26666667,0.0,0.26666667,0.66666667,0.11111111166666666,,,,,0.26666667,1333.33332,0.0,0.0,,,,,31.8399996816
Coal_z2,20200102,2020,202001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone2,Coal,6.0,1,,,,,Zone2,2.0,Zone2,1.6,4.0,4.0,0.0,4.0,6.0,1.0,,,,,4.0,12064.0,5.3333333,0.0,,,,,288.08831999999995
Coal_z2,20300101,2030,203001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone2,Coal,6.0,1,,,,,Zone2,0.4,Zone2,0.0,0.26666667,0.26666667,0.0,0.26666667,0.66666667,0.11111111166666666,,,,,0.26666667,1333.33332,0.0,0.0,,,,,31.8399996816
Coal_z2,20300102,2030,203001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone2,Coal,6.0,1,,,,,Zone2,2.0,Zone2,1.6,4.0,4.0,0.0,4.0,6.0,1.0,,,,,4.0,12064.0,5.3333333,0.0,,,,,288.08831999999995
Gas_CCGT,20200101,2020,202001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone1,Gas,6.0,1,Zone1,0.0,Zone1,0.0,Zone1,0.0,Zone1,1.0,6.0,6.0,0.0,6.0,6.0,1.0,,,,,12.0,7680.0,0.0,0.0,,,,,81.50016000000001
Gas_CCGT,20200102,2020,202001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone1,Gas,6.0,1,Zone1,0.0,Zone1,1.6,Zone1,0.0,Zone1,2.0,6.0,6.0,0.0,6.0,6.0,1.0,,,,,12.0,7680.0,0.0,0.0,,,,,81.50016000000001
