project,timepoint,power_mw,commit_continuous,curtail_mw,lf_reserves_up_mw,lf_reserves_down_mw,regulation_up_mw,regulation_down_mw
Coal,1,5.00000031875,1.0,,,,0.999999751238,0.318584607996
Coal,2,0.0,0.0,,,,0.0,1.12751359664e-09
Coal,3,0.0,0.0,,,,0.0,1.02169950471e-09
Coal,4,4.00000031874,1.0,,,,1.99999975124,0.510792683918
Gas_CCGT,1,5.56038938477,1.0,,0.439610555837,0.45664753122,1.29381123704e-07,0.320496873245
Gas_CCGT,2,3.81355489612,0.800000025541,,0.493222632652,0.545745086456,0.493222633462,0.545745086317
Gas_CCGT,3,0.0,0.0,,0.0,1.85943986614e-09,0.0,1.85920824542e-09
Gas_CCGT,4,5.31551274655,1.0,,0.684487194046,0.741982291672,1.29381139374e-07,0.597341417652
Gas_CCGT_New,1,25.6396102165,1.0,,0.560389454163,0.54335247878,1.29381133228e-07,0.360918528759
Gas_CCGT_New,2,23.1864450355,1.0,,1.50677737735,1.45425492354,1.5067773849,1.45425492256
Gas_CCGT_New,3,24.199999745,1.0,,1.00000001638,1.00000000814,1.00000002524,1.00000000712
Gas_CCGT_New,4,24.8844868447,1.0,,1.31551281595,1.25801771833,1.29381152989e-07,0.89186590843
Gas_CT,1,6.00000006999,1.0,,,,,
Gas_CT,2,6.00000006746,1.0,,,,,
Gas_CT,3,6.00000006593,1.0,,,,,
Gas_CT,4,6.00000006998,1.0,,,,,
Gas_CT_New,3,2.00000019439,0.714285787787,,,,,
Gas_CT_New,4,2.80000001001,1.0,,,,,
Nuclear,1,6.0,,,,,,
Nuclear,2,6.0,,,,,,
Nuclear,3,6.0,,,,,,
Nuclear,4,6.0,,,,,,
Wind,1,1.8,,0.0,,,,
Wind,2,1.0,,0.0,,,,
Wind,3,1.8,,0.0,,,,
Wind,4,1.0,,0.0,,,,
