project,timepoint,power_mw,commit_continuous,curtail_mw,lf_reserves_up_mw,lf_reserves_down_mw,regulation_up_mw,regulation_down_mw
Coal,1,5.61379113024,1.0,,,,0.386208939749,0.328754352587
Coal,2,0.0,0.0,,,,0.0,1.11977144597e-09
Coal,3,0.0,0.0,,,,0.0,9.72568137259e-10
Coal,4,3.35897606872,1.0,,,,2.64102400126,0.367913964453
Coal_z2,1,4.38620951726,1.0,,,,1.61379055273,0.303956337398
Coal_z2,2,0.0,0.0,,,,0.0,1.11977073525e-09
Coal_z2,3,0.0,0.0,,,,0.0,9.72572641159e-10
Coal_z2,4,4.64102457877,1.0,,,,1.35897549121,0.610224019259
Gas_CCGT,1,5.74309225837,1.0,,0.256907682243,0.462572780166,1.29381089829e-07,0.324421569247
Gas_CCGT,2,3.95177620493,0.808401619893,,0.449316159699,0.573439610997,0.44931736371,0.573440865688
Gas_CCGT,3,0.0,0.0,,0.0,1.80769836028e-09,0.0,1.80769836026e-09
Gas_CCGT,4,5.15727399323,1.0,,0.842725947367,0.713416194552,1.29381155749e-07,0.584810718878
Gas_CCGT_New,1,24.8431165314,1.0,,0.290754788162,0.542711435549,1.29381098783e-07,0.361865851522
Gas_CCGT_New,2,23.0482237267,1.0,,1.04282367135,1.45642896373,1.04282404861,1.45642764755
Gas_CCGT_New,3,22.1999994896,1.0,,1.46693646185,0.988538785714,1.46693547656,0.988538821623
Gas_CCGT_New,4,22.8837498481,1.0,,2.25012146154,1.23500398613,1.29381170355e-07,0.894299126586
Gas_CCGT_New_z2,1,26.4061382777,1.0,,0.859989724048,0.543743420388,1.2938114313e-07,0.362323990674
Gas_CCGT_New_z2,2,23.2842236788,1.0,,1.99095356801,1.44345933466,1.99095088197,1.44345808152
Gas_CCGT_New_z2,3,26.1999999776,1.0,,0.533063564984,1.01146122067,0.533064568653,1.01146118282
Gas_CCGT_New_z2,4,26.7494515511,1.0,,0.516676440617,1.26672096082,1.29381140951e-07,0.910808583717
Gas_CCGT_z2,1,5.40765212506,1.0,,0.592347815547,0.450972373897,1.29381132929e-07,0.318677908572
Gas_CCGT_z2,2,3.71577625276,0.791598431182,,0.516906610943,0.526672100609,0.516907732377,0.526673412999
Gas_CCGT_z2,3,0.0,0.0,,0.0,1.80769836088e-09,0.0,1.80769836082e-09
Gas_CCGT_z2,4,5.60952378012,1.0,,0.390476160479,0.784858868505,1.29381128793e-07,0.631943597107
Gas_CT,1,6.00000006999,1.0,,,,,
Gas_CT,2,6.00000006746,1.0,,,,,
Gas_CT,3,6.0000000247,1.0,,,,,
Gas_CT,4,6.00000006998,1.0,,,,,
Gas_CT_New,3,4.00000049568,0.714285808673,,,,,
Gas_CT_New,4,5.60000001002,1.0,,,,,
Gas_CT_New_z2,3,7.80374403227e-09,0.0,,,,,
Gas_CT_New_z2,4,9.9910264661e-09,0.0,,,,,
Gas_CT_z2,1,6.00000006999,1.0,,,,,
Gas_CT_z2,2,6.00000006746,1.0,,,,,
Gas_CT_z2,3,6.00000002456,1.0,,,,,
Gas_CT_z2,4,6.00000006998,1.0,,,,,
Nuclear,1,6.0,,,,,,
Nuclear,2,6.0,,,,,,
Nuclear,3,6.0,,,,,,
Nuclear,4,6.0,,,,,,
Nuclear_z2,1,6.0,,,,,,
Nuclear_z2,2,6.0,,,,,,
Nuclear_z2,3,6.0,,,,,,
Nuclear_z2,4,6.0,,,,,,
Wind,1,1.8,,0.0,,,,
Wind,2,1.0,,0.0,,,,
Wind,3,1.8,,0.0,,,,
Wind,4,1.0,,0.0,,,,
Wind_z2,1,1.8,,0.0,,,,
Wind_z2,2,1.0,,0.0,,,,
Wind_z2,3,1.8,,0.0,,,,
Wind_z2,4,1.0,,0.0,,,,
