generator,timepoint,power_mw,commit_capacity_mw,curtail_mw,lf_reserves_up_mw,lf_reserves_down_mw,regulation_up_mw,regulation_down_mw
Coal,1,5.0,6.0,,,,1.0,0.0
Coal,2,0.0,0.0,,,,0.0,0.0
Coal,3,0.0,0.0,,,,0.0,0.0
Coal,4,4.0,6.0,,,,2.0,0.0
Coal_z2,1,5.0,6.0,,,,1.0,0.0
Coal_z2,2,4.0,6.0,,,,2.0,1.6
Coal_z2,3,5.0,6.0,,,,1.0,1.0
Coal_z2,4,4.0,6.0,,,,2.0,1.6
Gas_CCGT,1,5.0,6.0,,1.0,1.0,0.0,0.0
Gas_CCGT,2,6.0,6.0,,0.0,0.0,0.0,2.0
Gas_CCGT,3,0.0,0.0,,0.0,0.0,0.0,0.0
Gas_CCGT,4,4.0,6.0,,2.0,0.0,0.0,1.6
Gas_CCGT_New,1,36.2,36.2,,0.0,0.0,0.0,1.0
Gas_CCGT_New,2,31.0,35.0,,2.0,2.0,2.0,0.0
Gas_CCGT_New,3,33.4,35.4,,1.0,1.0,1.0,1.0
Gas_CCGT_New,4,36.2,36.2,,0.0,2.0,0.0,0.4
Gas_CCGT_z2,1,5.0,6.0,,1.0,1.0,0.0,1.0
Gas_CCGT_z2,2,4.8,6.0,,1.2,2.0,0.0,0.4
Gas_CCGT_z2,3,5.0,6.0,,1.0,1.0,0.0,0.0
Gas_CCGT_z2,4,4.8,6.0,,1.2,2.0,0.0,0.4
Gas_CT,1,6.0,6.0,,,,,
Gas_CT,2,6.0,6.0,,,,,
Gas_CT,3,6.0,6.0,,,,,
Gas_CT,4,6.0,6.0,,,,,
Gas_CT_New,3,2.8,2.8,,,,,
Gas_CT_New,4,2.8,2.8,,,,,
Gas_CT_z2,1,6.0,6.0,,,,,
Gas_CT_z2,2,6.0,6.0,,,,,
Gas_CT_z2,3,6.0,6.0,,,,,
Gas_CT_z2,4,6.0,6.0,,,,,
Nuclear,1,6.0,,,,,,
Nuclear,2,6.0,,,,,,
Nuclear,3,6.0,,,,,,
Nuclear,4,6.0,,,,,,
Nuclear_z2,1,6.0,,,,,,
Nuclear_z2,2,6.0,,,,,,
Nuclear_z2,3,6.0,,,,,,
Nuclear_z2,4,6.0,,,,,,
Wind,1,1.8,,0.0,,,,
Wind,2,1.0,,0.0,,,,
Wind,3,1.8,,0.0,,,,
Wind,4,1.0,,0.0,,,,
Wind_z2,1,1.8,,0.0,,,,
Wind_z2,2,1.0,,0.0,,,,
Wind_z2,3,1.8,,0.0,,,,
Wind_z2,4,1.0,,0.0,,,,
